village,grid,longitude,latitude
Mandena,village,49.81628,-14.47962
Mandena,agroforest,49.810981,-14.47795196
Mandena,flooded_rice,49.806976,-14.471467
Mandena,agriculture,49.80340904,-14.46930402
Mandena,brushy_regrowth,49.79888901,-14.46588001
Mandena,secondary_forest,49.79503602,-14.46382402
Mandena,semi-intact_forest,49.79125704,-14.45751898
Sarahandrano,village,49.64933,-14.60823
Sarahandrano,agroforest,49.66238,-14.59524
Sarahandrano,flooded_rice,49.64491,-14.60698
Sarahandrano,agriculture,49.6559,-14.6017
Sarahandrano,brushy_regrowth,49.65179,-14.60208
Sarahandrano,secondary_forest,49.66773,-14.59934
Sarahandrano,semi-intact_forest,49.67333,-14.59554
Andatsakala,village,49.88202902,-14.39727698
Andatsakala,agroforest,49.87661599,-14.39546599
Andatsakala,flooded_rice,49.88585101,-14.39453099
Andatsakala,agriculture,49.87361301,-14.39334897
Andatsakala,brushy_regrowth,49.87064296,-14.39517103
Andatsakala,secondary_forest,49.86711997,-14.39597201
Andatsakala,semi-intact_forest,49.86214899,-14.39469896
