feature,value
pref_attach,0.18919241290044367
asv_degree,0.1369708075019088
asv_closeness,0.1348078527807281
asv_betweenness,0.12323358067911731
host_closeness,0.08275376781671875
host_betweenness,0.0554757150211037
host_degree,0.03980812024805547
elevation.obs,0.03562493376947531
mass,0.034787467299382833
host_module,0.03312373847922872
