village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_1,3500,Rattus rattus,brushy_regrowth,1,0.05747126436781609,18009
Andatsakala,ASV_1,3501,Rattus rattus,brushy_regrowth,1,0.009533898305084746,21712
Andatsakala,ASV_1,3502,Rattus rattus,brushy_regrowth,1,0.5658785465405675,40180
Andatsakala,ASV_1,3503,Rattus rattus,brushy_regrowth,1,0.20356412049628303,38607.00000000001
Andatsakala,ASV_1,3516,Rattus rattus,brushy_regrowth,1,0.214887831407206,14710
Andatsakala,ASV_1,3520,Rattus rattus,brushy_regrowth,1,0.016587926509186356,19050
Andatsakala,ASV_1,3527,Rattus rattus,brushy_regrowth,1,0.0810094720805458,15097
Andatsakala,ASV_1,3534,Rattus rattus,agriculture,1,0.3706613960663324,20744
Andatsakala,ASV_1,3535,Rattus rattus,agriculture,1,0.5452269961191356,43547
Andatsakala,ASV_1,3543,Rattus rattus,agriculture,1,0.004753744956055498,18091
Andatsakala,ASV_1,3548,Rattus rattus,secondary_forest,1,0.5752672911344499,10569
Andatsakala,ASV_1,3553,Rattus rattus,secondary_forest,1,0.39431709230366946,22946
Andatsakala,ASV_1,3557,Rattus rattus,secondary_forest,1,0.11144142084000305,13119
Andatsakala,ASV_1,3558,Rattus rattus,secondary_forest,1,0.053952991452991456,13104
Andatsakala,ASV_1,3559,Rattus rattus,secondary_forest,1,0.30142063001853,16190
Andatsakala,ASV_1,3563,Rattus rattus,secondary_forest,1,0.040379622168502105,11169
Andatsakala,ASV_1,3564,Rattus rattus,secondary_forest,1,0.3666419828374788,22957
Andatsakala,ASV_1,3568,Rattus rattus,secondary_forest,1,0.07496410488929192,13233
Andatsakala,ASV_1,3569,Rattus rattus,secondary_forest,1,0.051670118421751364,18831
Andatsakala,ASV_1,3574,Rattus rattus,semi-intact_forest,1,0.01803044719314938,21020
Andatsakala,ASV_1,3577,Rattus rattus,semi-intact_forest,1,0.03198163733741392,13070
Andatsakala,ASV_1,3578,Rattus rattus,semi-intact_forest,1,0.0865849126718692,10764
Andatsakala,ASV_1,3581,Rattus rattus,semi-intact_forest,1,0.163715608825933,11013
Andatsakala,ASV_1,3591,Rattus rattus,agroforest,1,0.1777247909323381,28938
Andatsakala,ASV_1,3592,Rattus rattus,agroforest,1,0.15256804119250572,23111
Andatsakala,ASV_1,3598,Rattus rattus,agroforest,1,0.09053308823529412,8704
Andatsakala,ASV_1,3599,Rattus rattus,agroforest,1,0.013361838588989846,9355
Andatsakala,ASV_1,3600,Rattus rattus,agroforest,1,0.1795019551348014,24295
Andatsakala,ASV_1,3608,Rattus rattus,agroforest,1,0.0012852369120041128,23342
Andatsakala,ASV_1,3611,Rattus rattus,agroforest,1,0.8162578925659169,31517
Andatsakala,ASV_1,3613,Rattus rattus,agroforest,1,0.13959390862944163,14184
Andatsakala,ASV_1,3620,Rattus rattus,agroforest,1,0.007503099106152542,15327
Andatsakala,ASV_1,3621,Rattus rattus,agroforest,1,0.6341178857664603,19714
Andatsakala,ASV_1,3622,Rattus rattus,agroforest,1,0.017524644030668127,11869
Andatsakala,ASV_1,3623,Rattus rattus,agroforest,1,0.030004372834605945,29729
Andatsakala,ASV_1,3630,Rattus rattus,village,1,0.13257874879354214,11397
