village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_103,3500,Rattus rattus,brushy_regrowth,1,0.003954034350673421,8093
Andatsakala,ASV_103,3501,Rattus rattus,brushy_regrowth,1,0.004918032786885246,16470
Andatsakala,ASV_103,3520,Rattus rattus,brushy_regrowth,1,0.01235374472887094,16837
Andatsakala,ASV_103,3528,Rattus rattus,brushy_regrowth,1,0.0035691109669046075,6164
Andatsakala,ASV_103,3543,Rattus rattus,agriculture,1,0.0147475048413526,6713
Andatsakala,ASV_103,3557,Rattus rattus,secondary_forest,1,0.0187125748502994,5344
Andatsakala,ASV_103,3559,Rattus rattus,secondary_forest,1,0.0023715415019762848,20240
Andatsakala,ASV_103,3591,Rattus rattus,agroforest,1,0.012953367875647668,8878
Andatsakala,ASV_103,3593,Rattus rattus,agroforest,1,0.006047819971870605,7110
Andatsakala,ASV_103,3613,Rattus rattus,agroforest,1,0.0066113967887501315,9529
Andatsakala,ASV_103,3614,Rattus rattus,agroforest,1,0.004131860235336388,11133
Andatsakala,ASV_103,3630,Rattus rattus,village,1,0.027724665391969407,6276
Andatsakala,ASV_103,3641,Rattus rattus,village,1,0.05883148498782797,7394
Andatsakala,ASV_103,3649,Rattus rattus,village,1,0.011840302694239677,30658
Andatsakala,ASV_103,3663,Rattus rattus,brushy_regrowth,2,0.0322922350977434,31153
Andatsakala,ASV_103,3673,Rattus rattus,brushy_regrowth,2,0.02353238866396761,3952
Andatsakala,ASV_103,3680,Rattus rattus,brushy_regrowth,2,0.04090140845070422,8875
Andatsakala,ASV_103,3689,Rattus rattus,agriculture,2,0.006766618017778957,7537
Andatsakala,ASV_103,3708,Rattus rattus,agriculture,2,0.006854921219562104,9774
Andatsakala,ASV_103,3713,Rattus rattus,secondary_forest,2,0.03943117492751622,36215
Andatsakala,ASV_103,3728,Rattus rattus,semi-intact_forest,2,0.05323039414872003,4922
Andatsakala,ASV_103,3761,Rattus rattus,agroforest,2,0.013105760438890583,3281
Andatsakala,ASV_103,3773,Rattus rattus,agroforest,2,0.008178844056706653,5502
Andatsakala,ASV_103,3778,Rattus rattus,flooded_rice,2,0.021600392734413353,4074
Andatsakala,ASV_103,3797,Rattus rattus,village,2,0.07794905433475456,9147
Andatsakala,ASV_103,3806,Rattus rattus,flooded_rice,2,0.008807588075880758,5904
Andatsakala,ASV_103,3825,Rattus rattus,flooded_rice,2,0.07218493661446682,6705
Andatsakala,ASV_103,3841,Rattus rattus,brushy_regrowth,3,0.003762613305968873,5847
Andatsakala,ASV_103,3845,Rattus rattus,brushy_regrowth,3,0.015158015158015159,6993
Andatsakala,ASV_103,3877,Rattus rattus,agriculture,3,0.007944804515994146,4783
Andatsakala,ASV_103,3885,Rattus rattus,agriculture,3,0.07448844398645664,6793
Andatsakala,ASV_103,3886,Rattus rattus,agriculture,3,0.009299442033477991,4839
Andatsakala,ASV_103,3889,Rattus rattus,agriculture,3,0.01655426118945432,4893
Andatsakala,ASV_103,3895,Rattus rattus,secondary_forest,3,0.010062893081761006,3180
Andatsakala,ASV_103,3896,Rattus rattus,secondary_forest,3,0.011320754716981131,3975
Andatsakala,ASV_103,3898,Rattus rattus,secondary_forest,3,0.00728643216080402,7960
Andatsakala,ASV_103,3904,Rattus rattus,secondary_forest,3,0.012763926995109148,8383
Andatsakala,ASV_103,3905,Rattus rattus,secondary_forest,3,0.009007282483710233,10436
Andatsakala,ASV_103,3907,Rattus rattus,secondary_forest,3,0.02316707549741074,3669
Andatsakala,ASV_103,3918,Rattus rattus,secondary_forest,3,0.05417118093174431,3692
Andatsakala,ASV_103,3920,Rattus rattus,secondary_forest,3,0.00489432703003337,8990
Andatsakala,ASV_103,3929,Rattus rattus,secondary_forest,3,0.03897024090694379,4234
Andatsakala,ASV_103,3937,Rattus rattus,semi-intact_forest,3,0.08264771877337322,8022
Andatsakala,ASV_103,3961,Rattus rattus,village,3,0.007378406866435778,6641
Andatsakala,ASV_103,3962,Rattus rattus,village,3,0.01610452749924035,6582
Andatsakala,ASV_103,3970,Rattus rattus,village,3,0.011069693889077149,8853
Andatsakala,ASV_103,3974,Rattus rattus,village,3,0.005015810707665467,9171
Andatsakala,ASV_103,3975,Rattus rattus,village,3,0.011420580351940334,8581
Andatsakala,ASV_103,3995,Rattus rattus,agroforest,3,0.020465489566613163,7476
Andatsakala,ASV_103,3996,Rattus rattus,agroforest,3,0.0062517760727479384,7038
Andatsakala,ASV_103,3997,Rattus rattus,agroforest,3,0.0037197768133911966,4839
Andatsakala,ASV_103,4002,Rattus rattus,village,3,0.011871952512189952,4717
Andatsakala,ASV_103,4004,Rattus rattus,village,3,0.039786511402231925,6183
Andatsakala,ASV_103,4006,Rattus rattus,agroforest,3,0.004796163069544364,6672
Andatsakala,ASV_103,4016,Rattus rattus,village,3,0.009775524981897175,5524
Andatsakala,ASV_103,4019,Rattus rattus,village,3,0.17193140794223827,2216
Andatsakala,ASV_103,4033,Rattus rattus,village,3,0.008024289741921492,4611
Andatsakala,ASV_1034,3630,Rattus rattus,village,1,0.022307202039515615,6276
Andatsakala,ASV_1034,3649,Rattus rattus,village,1,0.005708134907691304,30658
Andatsakala,ASV_1034,3655,Rattus rattus,village,1,0.014948139109212935,3278
Andatsakala,ASV_1034,3657,Rattus rattus,flooded_rice,1,0.00482135170038743,23230
Andatsakala,ASV_1034,3658,Rattus rattus,village,1,0.005507113354749885,8716
Andatsakala,ASV_1034,3782,Rattus rattus,flooded_rice,2,0.023734177215189875,1896
Andatsakala,ASV_1034,3790,Rattus rattus,village,2,0.01934015927189989,5274
Andatsakala,ASV_1034,3797,Rattus rattus,village,2,0.08265004919645785,9147
Andatsakala,ASV_1034,3800,Rattus rattus,village,2,0.01143344709897611,5860
Andatsakala,ASV_1034,3811,Rattus rattus,flooded_rice,2,0.008218971497511688,13262
Andatsakala,ASV_1034,3815,Rattus rattus,village,2,0.013414634146341463,5740
Andatsakala,ASV_1034,3821,Rattus rattus,village,2,0.0053868756121449556,6126
Andatsakala,ASV_1034,3825,Rattus rattus,flooded_rice,2,0.0070096942580164055,6705
Andatsakala,ASV_1034,3845,Rattus rattus,brushy_regrowth,3,0.003003003003003003,6993
Andatsakala,ASV_1034,3874,Rattus rattus,agriculture,3,0.01086780210867802,6165
Andatsakala,ASV_1034,3886,Rattus rattus,agriculture,3,0.007026245091961149,4839
Andatsakala,ASV_1034,3888,Rattus rattus,agriculture,3,0.011246786632390746,3112
Andatsakala,ASV_1034,3970,Rattus rattus,village,3,0.015587936292782108,8853
Andatsakala,ASV_1034,3974,Rattus rattus,village,3,0.01701014066077854,9171
Andatsakala,ASV_1034,3975,Rattus rattus,village,3,0.004661461368138911,8581
Andatsakala,ASV_1034,3987,Rattus rattus,village,3,0.01457216134297039,8578
Andatsakala,ASV_1034,3988,Rattus rattus,village,3,0.005330006804264005,8818
Andatsakala,ASV_1034,4005,Rattus rattus,agroforest,3,0.02796662546353523,12944
Andatsakala,ASV_1034,4033,Rattus rattus,village,3,0.019084797224029493,4611
Andatsakala,ASV_1034,4037,Rattus rattus,village,3,0.015405682985279013,5842
Andatsakala,ASV_1036,3577,Rattus rattus,semi-intact_forest,1,0.0052640236881065965,6079
Andatsakala,ASV_1036,3636,Rattus rattus,village,1,0.0051489518205222505,8157
Andatsakala,ASV_1036,3641,Rattus rattus,village,1,0.005004057343792264,7394
Andatsakala,ASV_1036,3654,Rattus rattus,village,1,0.005254796529390199,8183
Andatsakala,ASV_1036,3656,Rattus rattus,flooded_rice,1,0.0032854209445585215,14610
Andatsakala,ASV_1036,3661,Rattus rattus,brushy_regrowth,2,0.004756619628983669,6307
Andatsakala,ASV_1036,3662,Rattus rattus,brushy_regrowth,2,0.006050503179601162,16197
Andatsakala,ASV_1036,3679,Rattus rattus,brushy_regrowth,2,0.007936507936507936,3402
Andatsakala,ASV_1036,3689,Rattus rattus,agriculture,2,0.00583786652514263,7537
Andatsakala,ASV_1036,3712,Rattus rattus,secondary_forest,2,0.0034190503707984205,20766
Andatsakala,ASV_1036,3772,Rattus rattus,agroforest,2,0.004199720018665422,4286
Andatsakala,ASV_1036,3779,Rattus rattus,flooded_rice,2,0.00809603573422669,3582
Andatsakala,ASV_1036,3872,Rattus rattus,agriculture,3,0.01055858310626703,5872
Andatsakala,ASV_1036,3877,Rattus rattus,agriculture,3,0.004181476061049551,4783
Andatsakala,ASV_1036,3900,Rattus rattus,secondary_forest,3,0.004433696090286175,7443
Andatsakala,ASV_1036,3904,Rattus rattus,secondary_forest,3,0.003101514970774186,8383
Andatsakala,ASV_1036,3906,Rattus rattus,secondary_forest,3,0.0035644847699287103,3086
Andatsakala,ASV_1036,3907,Rattus rattus,secondary_forest,3,0.02316707549741074,3669
Andatsakala,ASV_1036,3912,Rattus rattus,secondary_forest,3,0.00432457038807329,8787
Andatsakala,ASV_1036,3913,Rattus rattus,secondary_forest,3,0.007107709130672498,3658
Andatsakala,ASV_1036,3915,Rattus rattus,secondary_forest,3,0.0031645569620253164,7268
Andatsakala,ASV_1036,3916,Rattus rattus,secondary_forest,3,0.008913715236510578,8414
Andatsakala,ASV_1036,3917,Rattus rattus,secondary_forest,3,0.009619686800894854,8940
Andatsakala,ASV_1036,3919,Rattus rattus,secondary_forest,3,0.006792247781199058,11042
Andatsakala,ASV_1036,3952,Rattus rattus,village,3,0.01782178217821782,5555
Andatsakala,ASV_1036,3961,Rattus rattus,village,3,0.004216232495106159,6641
Andatsakala,ASV_1036,3962,Rattus rattus,village,3,0.018535399574597385,6582
Andatsakala,ASV_1036,3972,Rattus rattus,village,3,0.0043295900419429035,7391
Andatsakala,ASV_1036,3995,Rattus rattus,agroforest,3,0.00454788657035848,7476
Andatsakala,ASV_1036,4037,Rattus rattus,village,3,0.0066757959602875725,5842
Andatsakala,ASV_1059,3500,Rattus rattus,brushy_regrowth,1,0.008155195848263932,8093
Andatsakala,ASV_1059,3553,Rattus rattus,secondary_forest,1,0.015232606010703994,7287
Andatsakala,ASV_1059,3563,Rattus rattus,secondary_forest,1,0.004311437991377124,7886
Andatsakala,ASV_1059,3599,Rattus rattus,agroforest,1,0.012747252747252748,13650
Andatsakala,ASV_1059,3613,Rattus rattus,agroforest,1,0.02906915730926645,9529
Andatsakala,ASV_1059,3621,Rattus rattus,agroforest,1,0.018568840579710144,6624
Andatsakala,ASV_1059,3634,Rattus rattus,village,1,0.0031006094301293703,9353
Andatsakala,ASV_1059,3637,Rattus rattus,village,1,0.0026897788404064557,16730
Andatsakala,ASV_1059,3642,Rattus rattus,village,1,0.012307351147577337,9019
Andatsakala,ASV_1059,3649,Rattus rattus,village,1,0.0031313197207906577,30658
Andatsakala,ASV_1059,3655,Rattus rattus,village,1,0.026540573520439294,3278
Andatsakala,ASV_1059,3656,Rattus rattus,flooded_rice,1,0.012936344969199178,14610
Andatsakala,ASV_1059,3749,Rattus rattus,agroforest,2,0.037287833563505145,22447
Andatsakala,ASV_1059,3811,Rattus rattus,flooded_rice,2,0.008520585130447896,13262
Andatsakala,ASV_1059,3831,Rattus rattus,brushy_regrowth,3,0.011378002528445006,3955
Andatsakala,ASV_1059,3876,Rattus rattus,agriculture,3,0.012694748990190421,8665
Andatsakala,ASV_1059,3900,Rattus rattus,secondary_forest,3,0.1342200725513906,7443
Andatsakala,ASV_1059,3905,Rattus rattus,secondary_forest,3,0.010252970486776543,10436
Andatsakala,ASV_1059,3910,Rattus rattus,secondary_forest,3,0.029021437946623888,6857
Andatsakala,ASV_1059,3912,Rattus rattus,secondary_forest,3,0.004665983839763287,8787
Andatsakala,ASV_1059,3920,Rattus rattus,secondary_forest,3,0.023136818687430477,8990
Andatsakala,ASV_1059,3996,Rattus rattus,agroforest,3,0.0038363171355498722,7038
Andatsakala,ASV_1059,3997,Rattus rattus,agroforest,3,0.0037197768133911966,4839
Andatsakala,ASV_1059,4023,Rattus rattus,village,3,0.007965056526207605,7784
Andatsakala,ASV_1059,4024,Rattus rattus,village,3,0.04640684838927686,4439
Andatsakala,ASV_1083,3543,Rattus rattus,agriculture,1,0.005809623119320721,6713
Andatsakala,ASV_1083,3630,Rattus rattus,village,1,0.005098789037603569,6276
Andatsakala,ASV_1083,3772,Rattus rattus,agroforest,2,0.008166122258516099,4286
Andatsakala,ASV_1083,3781,Rattus rattus,flooded_rice,2,0.0047194546407970635,3814
Andatsakala,ASV_1083,3792,Rattus rattus,village,2,0.006160572337042926,10064
Andatsakala,ASV_1083,3798,Rattus rattus,village,2,0.006658316302986354,15169
Andatsakala,ASV_1083,3806,Rattus rattus,flooded_rice,2,0.0038956639566395663,5904
Andatsakala,ASV_1083,3808,Rattus rattus,flooded_rice,2,0.0037020417321067985,8914
Andatsakala,ASV_1083,3834,Rattus rattus,brushy_regrowth,3,0.002987303958177745,6695
Andatsakala,ASV_1083,3838,Rattus rattus,brushy_regrowth,3,0.005627230304693934,7286
Andatsakala,ASV_1083,3840,Rattus rattus,brushy_regrowth,3,0.008395522388059701,4288
Andatsakala,ASV_1083,3851,Rattus rattus,brushy_regrowth,3,0.004586129753914989,8940
Andatsakala,ASV_1083,3852,Rattus rattus,brushy_regrowth,3,0.0099830476549256,15926.999999999998
Andatsakala,ASV_1083,3872,Rattus rattus,agriculture,3,0.008855585831062671,5872
Andatsakala,ASV_1083,3886,Rattus rattus,agriculture,3,0.008472824963835503,4839
Andatsakala,ASV_1083,3893,Rattus rattus,secondary_forest,3,0.008928571428571428,2912
Andatsakala,ASV_1083,3900,Rattus rattus,secondary_forest,3,0.0033588606744592233,7443
Andatsakala,ASV_1083,3911,Rattus rattus,secondary_forest,3,0.0038356164383561648,7300
Andatsakala,ASV_1083,3962,Rattus rattus,village,3,0.008356122759039806,6582
Andatsakala,ASV_1083,3975,Rattus rattus,village,3,0.00582682671017364,8581
Andatsakala,ASV_1083,3978,Rattus rattus,flooded_rice,3,0.004865483686319404,10482
Andatsakala,ASV_1083,3988,Rattus rattus,village,3,0.0034021320027217052,8818
Andatsakala,ASV_1083,4013,Rattus rattus,village,3,0.005924721189591078,8608
Andatsakala,ASV_1083,4025,Rattus rattus,village,3,0.00949543846583504,5371
Andatsakala,ASV_109,3502,Rattus rattus,brushy_regrowth,1,0.00615188799321171,14142
Andatsakala,ASV_109,3520,Rattus rattus,brushy_regrowth,1,0.0033854011997386706,16837
Andatsakala,ASV_109,3567,Rattus rattus,secondary_forest,1,0.011143270622286542,6910
Andatsakala,ASV_109,3578,Rattus rattus,semi-intact_forest,1,0.02229667282809612,8656
Andatsakala,ASV_109,3581,Rattus rattus,semi-intact_forest,1,0.009742236655165415,4927
Andatsakala,ASV_109,3605,Rattus rattus,agroforest,1,0.029083431257344295,3404
Andatsakala,ASV_109,3621,Rattus rattus,agroforest,1,0.03170289855072464,6624
Andatsakala,ASV_109,3622,Rattus rattus,agroforest,1,0.0392841553906591,13746
Andatsakala,ASV_109,3641,Rattus rattus,village,1,0.009602380308358128,7394
Andatsakala,ASV_109,3643,Rattus rattus,village,1,0.03289244691959624,5746
Andatsakala,ASV_109,3655,Rattus rattus,village,1,0.03355704697986577,3278
Andatsakala,ASV_109,3656,Rattus rattus,flooded_rice,1,0.011772758384668035,14610
Andatsakala,ASV_109,3659,Rattus rattus,village,1,0.03036105032822757,3656
Andatsakala,ASV_109,3660,Rattus rattus,village,1,0.08467792370231395,7995
Andatsakala,ASV_109,3663,Rattus rattus,brushy_regrowth,2,0.003563059737424967,31153
Andatsakala,ASV_109,3673,Rattus rattus,brushy_regrowth,2,0.011639676113360324,3952
Andatsakala,ASV_109,3689,Rattus rattus,agriculture,2,0.006235902879129627,7537
Andatsakala,ASV_109,3712,Rattus rattus,secondary_forest,2,0.00712703457574882,20766
Andatsakala,ASV_109,3749,Rattus rattus,agroforest,2,0.014612197621062948,22447
Andatsakala,ASV_109,3772,Rattus rattus,agroforest,2,0.009332711152589827,4286
Andatsakala,ASV_109,3773,Rattus rattus,agroforest,2,0.009087604507451835,5502
Andatsakala,ASV_109,3779,Rattus rattus,flooded_rice,2,0.013679508654383027,3582
Andatsakala,ASV_109,3781,Rattus rattus,flooded_rice,2,0.059517566858940746,3814
Andatsakala,ASV_109,3782,Rattus rattus,flooded_rice,2,0.016877637130801686,1896
Andatsakala,ASV_109,3802,Rattus rattus,village,2,0.003951211132107885,5821
Andatsakala,ASV_109,3808,Rattus rattus,flooded_rice,2,0.013461969934933812,8914
Andatsakala,ASV_109,3811,Rattus rattus,flooded_rice,2,0.017493590710300103,13262
Andatsakala,ASV_109,3820,Rattus rattus,village,2,0.009468700683850605,3802
Andatsakala,ASV_109,3830,Rattus rattus,brushy_regrowth,3,0.03373768006065201,5276
Andatsakala,ASV_109,3840,Rattus rattus,brushy_regrowth,3,0.005597014925373133,4288
Andatsakala,ASV_109,3864,Rattus rattus,agriculture,3,0.06019730219448359,14901
Andatsakala,ASV_109,3868,Rattus rattus,agriculture,3,0.14584096738732136,5458
Andatsakala,ASV_109,3872,Rattus rattus,agriculture,3,0.005619891008174387,5872
Andatsakala,ASV_109,3873,Rattus rattus,agriculture,3,0.010748299319727891,7350
Andatsakala,ASV_109,3874,Rattus rattus,agriculture,3,0.006488240064882401,6165
Andatsakala,ASV_109,3878,Rattus rattus,agriculture,3,0.02406417112299465,2244
Andatsakala,ASV_109,3886,Rattus rattus,agriculture,3,0.0121926017772267,4839
Andatsakala,ASV_109,3887,Rattus rattus,agriculture,3,0.012007168458781362,5580
Andatsakala,ASV_109,3889,Rattus rattus,agriculture,3,0.009196811771919068,4893
Andatsakala,ASV_109,3893,Rattus rattus,secondary_forest,3,0.01201923076923077,2912
Andatsakala,ASV_109,3894,Rattus rattus,secondary_forest,3,0.06428347444339919,3189
Andatsakala,ASV_109,3900,Rattus rattus,secondary_forest,3,0.016391240091361007,7443
Andatsakala,ASV_109,3904,Rattus rattus,secondary_forest,3,0.004175116306811404,8383
Andatsakala,ASV_109,3905,Rattus rattus,secondary_forest,3,0.0041203526255270215,10436
Andatsakala,ASV_109,3906,Rattus rattus,secondary_forest,3,0.015878159429682438,3086
Andatsakala,ASV_109,3911,Rattus rattus,secondary_forest,3,0.010547945205479452,7300
Andatsakala,ASV_109,3912,Rattus rattus,secondary_forest,3,0.008080118356663252,8787
Andatsakala,ASV_109,3920,Rattus rattus,secondary_forest,3,0.048832035595105676,8990
Andatsakala,ASV_109,3936,Rattus rattus,semi-intact_forest,3,0.02359452374016895,3433
Andatsakala,ASV_109,3948,Rattus rattus,flooded_rice,3,0.014483627204030227,1588
Andatsakala,ASV_109,3952,Rattus rattus,village,3,0.005580558055805581,5555
Andatsakala,ASV_109,3959,Rattus rattus,village,3,0.003801879818354631,9469
Andatsakala,ASV_109,3960,Rattus rattus,village,3,0.003524945770065076,3688
Andatsakala,ASV_109,3968,Rattus rattus,village,3,0.03330249768732655,4324
Andatsakala,ASV_109,3975,Rattus rattus,village,3,0.021908868430252883,8581
Andatsakala,ASV_109,3980,Rattus rattus,village,3,0.03382162860835847,4642
Andatsakala,ASV_109,3982,Rattus rattus,village,3,0.011723838471558837,2303
