host_ID,host_species,village,grid,season,total_reads,asv_ID,reads
2009,Setifer setosus,Mandena,brushy_regrowth,1,19613,ASV_1,0.06623158109417224
2010,Rattus rattus,Mandena,brushy_regrowth,1,9912,ASV_1,0.0903954802259887
2011,Rattus rattus,Mandena,brushy_regrowth,1,20364,ASV_1,0.07527990571596936
2014,Rattus rattus,Mandena,brushy_regrowth,1,7610,ASV_1,0.03153745072273324
2015,Rattus rattus,Mandena,brushy_regrowth,1,30276,ASV_1,0.2545250363324085
2018,Rattus rattus,Mandena,brushy_regrowth,1,14954,ASV_1,0.17634077838705364
2019,Rattus rattus,Mandena,brushy_regrowth,1,15486,ASV_1,0.11223040165310602
2020,Rattus rattus,Mandena,brushy_regrowth,1,14984,ASV_1,0.11018419647624134
2029,Rattus rattus,Mandena,brushy_regrowth,1,11675,ASV_1,0.03905781584582441
2031,Rattus rattus,Mandena,brushy_regrowth,1,16150,ASV_1,0.020557275541795667
2037,Rattus rattus,Mandena,brushy_regrowth,1,8636,ASV_1,0.13767948124131543
2048,Suncus etruscus,Mandena,agriculture,1,9754,ASV_1,0.44310026655730983
2053,Rattus rattus,Mandena,agriculture,1,12496,ASV_1,0.3517125480153649
2054,Rattus rattus,Mandena,agriculture,1,12169,ASV_1,0.05933108718875832
2059,Rattus rattus,Mandena,agriculture,1,23828,ASV_1,0.17865536343797214
2061,Mus musculus,Mandena,agriculture,1,15815,ASV_1,0.24261776794182738
2063,Rattus rattus,Mandena,agriculture,1,18523,ASV_1,0.50925875938023
2064,Rattus rattus,Mandena,agriculture,1,10517,ASV_1,0.032423694970048496
2065,Rattus rattus,Mandena,agriculture,1,20460,ASV_1,0.015933528836754644
2068,Mus musculus,Mandena,agriculture,1,14412,ASV_1,0.05682764363030807
2075,Mus musculus,Mandena,agriculture,1,8977,ASV_1,0.058816976718280047
2076,Mus musculus,Mandena,agriculture,1,14713,ASV_1,0.1796370556650581
2077,Rattus rattus,Mandena,agriculture,1,26260,ASV_1,0.4884234577303884
2084,Mus musculus,Mandena,agriculture,1,12543,ASV_1,0.02622976959260145
2087,Rattus rattus,Mandena,agriculture,1,13162,ASV_1,0.04839690016714785
2090,Mus musculus,Mandena,agriculture,1,14524,ASV_1,0.7336133296612504
2091,Rattus rattus,Mandena,agriculture,1,23179,ASV_1,0.34902282238232885
2092,Rattus rattus,Mandena,agriculture,1,19241,ASV_1,0.020633023231640766
2094,Rattus rattus,Mandena,agriculture,1,3262,ASV_1,0.04230533415082771
2096,Rattus rattus,Mandena,agriculture,1,9183,ASV_1,0.07121855602744201
2099,Mus musculus,Mandena,agriculture,1,15771,ASV_1,0.17145393443662418
2103,Rattus rattus,Mandena,village,1,11913,ASV_1,0.24771258289263828
2121,Setifer setosus,Mandena,secondary_forest,1,12739,ASV_1,0.047727451134311955
2140,Rattus rattus,Mandena,semi-intact_forest,1,20447,ASV_1,0.8083337408910842
2149,Suncus murinus,Mandena,flooded_rice,1,11503,ASV_1,0.20281665652438494
2158,Suncus etruscus,Mandena,flooded_rice,1,19376,ASV_1,0.3421242774566474
2160,Rattus rattus,Mandena,flooded_rice,1,12467,ASV_1,0.014678751905029278
2166,Mus musculus,Mandena,flooded_rice,1,17952,ASV_1,0.12984625668449198
2167,Mus musculus,Mandena,flooded_rice,1,15209,ASV_1,0.1497139851403774
2169,Rattus rattus,Mandena,flooded_rice,1,16681,ASV_1,0.14111863797134463
2175,Rattus rattus,Mandena,flooded_rice,1,22668,ASV_1,0.05324686783130404
2176,Rattus rattus,Mandena,flooded_rice,1,18752,ASV_1,0.013331911262798635
2177,Rattus rattus,Mandena,flooded_rice,1,16880,ASV_1,0.07180094786729858
2178,Rattus rattus,Mandena,flooded_rice,1,16646,ASV_1,0.022047338699987984
2180,Mus musculus,Mandena,flooded_rice,1,11567,ASV_1,0.022218379873778855
2198,Mus musculus,Mandena,village,1,8519,ASV_1,0.01972062448644207
2199,Mus musculus,Mandena,village,1,15251,ASV_1,0.16864467903744018
2210,Mus musculus,Mandena,agroforest,1,18008,ASV_1,0.4023211905819636
2215,Mus musculus,Mandena,agroforest,1,19482,ASV_1,0.0792013140334668
2218,Rattus rattus,Mandena,agroforest,1,15592,ASV_1,0.17015135967162648
2222,Rattus rattus,Mandena,village,1,5556,ASV_1,0.036177105831533475
2227,Rattus rattus,Mandena,village,1,24462,ASV_1,0.029923963698798135
2231,Mus musculus,Mandena,agroforest,1,22810,ASV_1,0.32433143358176236
2232,Mus musculus,Mandena,agroforest,1,31311,ASV_1,0.8092044329468877
2237,Mus musculus,Mandena,agroforest,1,13285,ASV_1,0.22453895370718857
2241,Rattus rattus,Mandena,agroforest,1,29225.000000000004,ASV_1,0.038836612489307094
2248,Rattus rattus,Mandena,agroforest,1,15957,ASV_1,0.31340477533370936
2249,Rattus rattus,Mandena,agroforest,1,9448,ASV_1,0.03027095681625741
2262,Rattus rattus,Mandena,brushy_regrowth,2,20674,ASV_1,0.028393150817451872
2278,Rattus rattus,Mandena,brushy_regrowth,2,27408,ASV_1,0.24062317571511968
2287,Rattus rattus,Mandena,brushy_regrowth,2,8590,ASV_1,0.04225844004656578
2288,Suncus etruscus,Mandena,brushy_regrowth,2,16632,ASV_1,0.040163540163540165
2297,Mus musculus,Mandena,agriculture,2,20520,ASV_1,0.627729044834308
2299,Mus musculus,Mandena,agriculture,2,37579,ASV_1,0.06647329625588759
2302,Rattus rattus,Mandena,agriculture,2,35510,ASV_1,0.8181357364122782
2303,Rattus rattus,Mandena,agriculture,2,17437,ASV_1,0.5798589206858978
2305,Microgale brevicaudata,Mandena,agriculture,2,27383,ASV_1,0.3700471095205054
2306,Microgale brevicaudata,Mandena,agriculture,2,10793,ASV_1,0.09598814046141017
2307,Microgale brevicaudata,Mandena,agriculture,2,13282,ASV_1,0.1945490137027556
2308,Microgale brevicaudata,Mandena,agriculture,2,14319,ASV_1,0.1524547803617571
2309,Microgale brevicaudata,Mandena,agriculture,2,16301,ASV_1,0.10115943807128397
2321,Mus musculus,Mandena,agriculture,2,11494,ASV_1,0.11954062989385766
2323,Mus musculus,Mandena,agriculture,2,12190,ASV_1,0.39466776045939295
2324,Rattus rattus,Mandena,agriculture,2,17706,ASV_1,0.056421552016265676
2328,Rattus rattus,Mandena,agriculture,2,17193,ASV_1,0.05601116733554353
2330,Rattus rattus,Mandena,agriculture,2,3006,ASV_1,0.034264803725881574
2335,Mus musculus,Mandena,agriculture,2,26662,ASV_1,0.5231790563348586
2337,Rattus rattus,Mandena,agriculture,2,51646,ASV_1,0.9549626302133757
2341,Rattus rattus,Mandena,agriculture,2,39440,ASV_1,0.041734279918864095
2343,Rattus rattus,Mandena,agriculture,2,29176,ASV_1,0.7965451055662188
2354,Rattus rattus,Mandena,secondary_forest,2,10820,ASV_1,0.04500924214417745
2368,Rattus rattus,Mandena,secondary_forest,2,14485,ASV_1,0.03424231964100794
2377,Rattus rattus,Mandena,semi-intact_forest,2,9486,ASV_1,0.20050600885515493
2381,Rattus rattus,Mandena,semi-intact_forest,2,15608,ASV_1,0.36737570476678627
2395,Mus musculus,Mandena,flooded_rice,2,15134,ASV_1,0.5060129509713228
2397,Rattus rattus,Mandena,flooded_rice,2,12857,ASV_1,0.06478960877343082
2400,Rattus rattus,Mandena,flooded_rice,2,22581,ASV_1,0.014614056064833267
2410,Rattus rattus,Mandena,flooded_rice,2,12641,ASV_1,0.08836326240012657
2413,Mus musculus,Mandena,flooded_rice,2,16091,ASV_1,0.042446087875209745
2415,Mus musculus,Mandena,flooded_rice,2,20287,ASV_1,0.12564696603736383
2417,Rattus rattus,Mandena,flooded_rice,2,24265,ASV_1,0.27496393983103234
2419,Rattus rattus,Mandena,flooded_rice,2,18487,ASV_1,0.38161951641694164
2426,Mus musculus,Mandena,flooded_rice,2,12499,ASV_1,0.03736298903912313
2428,Rattus rattus,Mandena,flooded_rice,2,14604,ASV_1,0.17775951794029032
2435,Rattus rattus,Mandena,flooded_rice,2,20840,ASV_1,0.3666506717850288
2442,Mus musculus,Mandena,agroforest,2,13300,ASV_1,0.10924812030075189
2451,Rattus rattus,Mandena,village,2,17464,ASV_1,0.3295923041685754
2454,Rattus rattus,Mandena,village,2,50503,ASV_1,0.12393323168920659
2457,Rattus rattus,Mandena,village,2,30639,ASV_1,0.020105094813799407
2462,Rattus rattus,Mandena,agroforest,2,11683,ASV_1,0.026277497218180262
2463,Mus musculus,Mandena,agroforest,2,14541,ASV_1,0.43085069802627063
2469,Rattus rattus,Mandena,village,2,30602,ASV_1,0.07466832233187373
2473,Mus musculus,Mandena,agroforest,2,11826,ASV_1,0.03526128868594622
2480,Rattus rattus,Mandena,village,2,17763,ASV_1,0.39126273715025617
2486,Rattus rattus,Mandena,village,2,19806,ASV_1,0.053115217610825
2496,Rattus rattus,Mandena,agroforest,2,21086,ASV_1,0.04225552499288628
2499,Rattus rattus,Mandena,brushy_regrowth,3,41399,ASV_1,0.36075750621995695
2500,Rattus rattus,Mandena,brushy_regrowth,3,26165,ASV_1,0.0641314733422511
2505,Rattus rattus,Mandena,brushy_regrowth,3,11782,ASV_1,0.06102529281955525
2508,Rattus rattus,Mandena,brushy_regrowth,3,7997,ASV_1,0.0726522445917219
2510,Rattus rattus,Mandena,brushy_regrowth,3,7785,ASV_1,0.26885035324341683
2511,Rattus rattus,Mandena,brushy_regrowth,3,11700,ASV_1,0.10376068376068376
2515,Rattus rattus,Mandena,brushy_regrowth,3,10130,ASV_1,0.035636722606120434
2517,Rattus rattus,Mandena,brushy_regrowth,3,7176,ASV_1,0.029542920847268672
2519,Mus musculus,Mandena,brushy_regrowth,3,12036,ASV_1,0.10584911930874044
2522,Rattus rattus,Mandena,brushy_regrowth,3,6633,ASV_1,0.034976631991557365
2523,Rattus rattus,Mandena,brushy_regrowth,3,13711,ASV_1,0.1638100794982131
2526,Rattus rattus,Mandena,brushy_regrowth,3,14528,ASV_1,0.4181580396475771
2531,Mus musculus,Mandena,brushy_regrowth,3,17545,ASV_1,0.2658877172983756
2532,Mus musculus,Mandena,brushy_regrowth,3,12840,ASV_1,0.08076323987538941
2533,Mus musculus,Mandena,brushy_regrowth,3,13095,ASV_1,0.2099274532264223
2534,Mus musculus,Mandena,brushy_regrowth,3,15535,ASV_1,0.41506276150627613
2536,Rattus rattus,Mandena,brushy_regrowth,3,12021,ASV_1,0.018051742783462273
2538,Rattus rattus,Mandena,brushy_regrowth,3,14284,ASV_1,0.042565107812937555
2540,Rattus rattus,Mandena,brushy_regrowth,3,13473,ASV_1,0.24619609589549465
2541,Rattus rattus,Mandena,brushy_regrowth,3,9677,ASV_1,0.10209775756949468
2545,Mus musculus,Mandena,agriculture,3,19823,ASV_1,0.31231397871159766
2546,Mus musculus,Mandena,agriculture,3,20440,ASV_1,0.18938356164383563
2547,Mus musculus,Mandena,agriculture,3,24955,ASV_1,0.7868162692847125
2548,Rattus rattus,Mandena,agriculture,3,13197,ASV_1,0.30279609002045915
2549,Rattus rattus,Mandena,agriculture,3,15785,ASV_1,0.03148558758314856
2550,Rattus rattus,Mandena,agriculture,3,17674,ASV_1,0.06467126853004414
2552,Rattus rattus,Mandena,agriculture,3,18869,ASV_1,0.6270072605861466
2557,Rattus rattus,Mandena,agriculture,3,7945,ASV_1,0.06645689112649465
2558,Rattus rattus,Mandena,agriculture,3,14661,ASV_1,0.04351681331423504
2565,Rattus rattus,Mandena,agriculture,3,16127,ASV_1,0.2923048304086315
2566,Rattus rattus,Mandena,agriculture,3,14153,ASV_1,0.08867377941072564
2568,Rattus rattus,Mandena,agriculture,3,15989,ASV_1,0.03296016011007568
2569,Rattus rattus,Mandena,agriculture,3,11816,ASV_1,0.3761002031144211
2571,Rattus rattus,Mandena,agriculture,3,13222,ASV_1,0.03123581908939646
2577,Rattus rattus,Mandena,agriculture,3,13804,ASV_1,0.09345117357287742
2580,Mus musculus,Mandena,agriculture,3,19006,ASV_1,0.09302325581395349
2581,Rattus rattus,Mandena,agriculture,3,10162,ASV_1,0.09191104113363512
2588,Rattus rattus,Mandena,agriculture,3,15180,ASV_1,0.12496706192358366
2597,Rattus rattus,Mandena,flooded_rice,3,20726,ASV_1,0.8339283991122262
2598,Rattus rattus,Mandena,flooded_rice,3,10447,ASV_1,0.05618837943907342
2600,Rattus rattus,Mandena,flooded_rice,3,15549,ASV_1,0.04328252620747315
2602,Rattus rattus,Mandena,flooded_rice,3,15687,ASV_1,0.11219481098999172
2604,Rattus rattus,Mandena,flooded_rice,3,15224,ASV_1,0.05563583815028902
2606,Rattus rattus,Mandena,flooded_rice,3,11860,ASV_1,0.07883642495784149
2609,Rattus rattus,Mandena,flooded_rice,3,11206,ASV_1,0.3509726932000714
2610,Rattus rattus,Mandena,flooded_rice,3,20848,ASV_1,0.03300076745970836
2615,Rattus rattus,Mandena,flooded_rice,3,9297,ASV_1,0.08206948478003658
2618,Rattus rattus,Mandena,flooded_rice,3,18721,ASV_1,0.05133272795256664
2620,Rattus rattus,Mandena,flooded_rice,3,15553,ASV_1,0.021024882659294027
2623,Rattus rattus,Mandena,flooded_rice,3,17391,ASV_1,0.2607095624173423
2624,Rattus rattus,Mandena,flooded_rice,3,12108,ASV_1,0.027254707631318136
2626,Microgale brevicaudata,Mandena,flooded_rice,3,18758,ASV_1,0.7175605075167928
2629,Mus musculus,Mandena,flooded_rice,3,10263,ASV_1,0.06801130273799084
2632,Rattus rattus,Mandena,flooded_rice,3,15006,ASV_1,0.0469812075169932
2633,Rattus rattus,Mandena,flooded_rice,3,16786,ASV_1,0.018825211485761946
2641,Mus musculus,Mandena,flooded_rice,3,14143,ASV_1,0.10761507459520611
2644,Rattus rattus,Mandena,flooded_rice,3,16494,ASV_1,0.18400630532314782
2645,Rattus rattus,Mandena,flooded_rice,3,22593,ASV_1,0.3753374939140442
2650,Rattus rattus,Mandena,secondary_forest,3,11147,ASV_1,0.21916210639633982
2652,Rattus rattus,Mandena,secondary_forest,3,12587,ASV_1,0.01779613887344085
2661,Rattus rattus,Mandena,secondary_forest,3,11042,ASV_1,0.19108857091106685
2667,Rattus rattus,Mandena,secondary_forest,3,11557,ASV_1,0.035908972916846936
2668,Rattus rattus,Mandena,secondary_forest,3,15035,ASV_1,0.6216162287994679
2670,Rattus rattus,Mandena,secondary_forest,3,12137,ASV_1,0.01738485622476724
2674,Rattus rattus,Mandena,secondary_forest,3,14651,ASV_1,0.041635383250290085
2675,Rattus rattus,Mandena,secondary_forest,3,4337,ASV_1,0.14779801706248558
2676,Rattus rattus,Mandena,secondary_forest,3,12407,ASV_1,0.1902152010961554
2683,Rattus rattus,Mandena,semi-intact_forest,3,12818,ASV_1,0.08097987205492277
2684,Rattus rattus,Mandena,semi-intact_forest,3,11928,ASV_1,0.0756203890006707
2685,Rattus rattus,Mandena,semi-intact_forest,3,15162,ASV_1,0.15024403113045773
2691,Rattus rattus,Mandena,semi-intact_forest,3,17608,ASV_1,0.7868582462517036
2694,Rattus rattus,Mandena,agroforest,3,15995,ASV_1,0.10509534229446701
2695,Rattus rattus,Mandena,agroforest,3,19906,ASV_1,0.4597106400080378
2696,Rattus rattus,Mandena,agroforest,3,15712,ASV_1,0.7306517311608961
2698,Suncus murinus,Mandena,agroforest,3,11605,ASV_1,0.32856527358897025
2703,Rattus rattus,Mandena,agroforest,3,10318,ASV_1,0.035278154681139755
2722,Rattus rattus,Mandena,agroforest,3,15804,ASV_1,0.2880283472538598
2723,Rattus rattus,Mandena,agroforest,3,20903,ASV_1,0.7377409941156772
2725,Rattus rattus,Mandena,agroforest,3,15147,ASV_1,0.12253251468937745
2737,Rattus rattus,Mandena,village,3,10890,ASV_1,0.04049586776859504
2740,Rattus rattus,Mandena,village,3,16053,ASV_1,0.21478851305052016
2745,Rattus rattus,Mandena,agroforest,3,11054,ASV_1,0.04061878053193414
2751,Rattus rattus,Mandena,village,3,13413,ASV_1,0.04652203086557817
2753,Mus musculus,Mandena,village,3,4736,ASV_1,0.02005912162162162
2755,Rattus rattus,Mandena,agroforest,3,26407,ASV_1,0.8220926269549741
