village,asv_ID,host_p,host_ID,host_species,grid,season,reads,total_reads
Mandena,ASV_10,0.6978021978021978,2363,Microgale brevicaudata,secondary_forest,2,0.02307376896410333,26827
Mandena,ASV_10,0.6978021978021978,2371,Microgale brevicaudata,semi-intact_forest,2,0.025935564928654762,22286
Mandena,ASV_10,0.6978021978021978,2372,Microgale brevicaudata,semi-intact_forest,2,0.008669303930645567,23762
Mandena,ASV_10,0.6978021978021978,2373,Microgale brevicaudata,semi-intact_forest,2,0.14992966374733402,22037
Mandena,ASV_10,0.6978021978021978,2374,Microgale brevicaudata,semi-intact_forest,2,0.004036181484017442,27749
Mandena,ASV_10,0.6978021978021978,2375,Microgale brevicaudata,semi-intact_forest,2,0.011809903244166193,21084
Mandena,ASV_10,0.6978021978021978,2378,Microgale brevicaudata,semi-intact_forest,2,0.027975559258698178,19803
Mandena,ASV_10,0.6978021978021978,2383,Microgale brevicaudata,semi-intact_forest,2,0.005682782018659881,23580
Mandena,ASV_10,0.6978021978021978,2385,Microgale brevicaudata,semi-intact_forest,2,0.02328844933008119,29929
Mandena,ASV_10,0.6978021978021978,2386,Microgale brevicaudata,flooded_rice,2,0.022080163150050985,25498
Mandena,ASV_10,0.6978021978021978,2387,Microgale brevicaudata,flooded_rice,2,0.0017365871492550954,10941
Mandena,ASV_10,0.6978021978021978,2388,Microgale brevicaudata,flooded_rice,2,0.01463641291721521,12913
Mandena,ASV_10,0.6978021978021978,2389,Microgale brevicaudata,flooded_rice,2,0.002159572797235747,25468
Mandena,ASV_10,0.6978021978021978,2392,Microgale brevicaudata,flooded_rice,2,0.016498706858111122,22426
Mandena,ASV_10,0.6978021978021978,2393,Microgale brevicaudata,flooded_rice,2,0.13778373398107044,23878
Mandena,ASV_10,0.6978021978021978,2402,Microgale brevicaudata,flooded_rice,2,0.0053590568060021436,13062
Mandena,ASV_10,0.6978021978021978,2406,Microgale brevicaudata,flooded_rice,2,0.006772931628422958,17127
Mandena,ASV_10,0.6978021978021978,2411,Microgale brevicaudata,flooded_rice,2,0.004235622898563381,22901
Mandena,ASV_10,0.6978021978021978,2412,Microgale brevicaudata,flooded_rice,2,0.04459087097160656,41735
Mandena,ASV_10,0.6978021978021978,2421,Microgale brevicaudata,flooded_rice,2,0.003297246798922899,18197
Mandena,ASV_10,0.6978021978021978,2430,Microgale brevicaudata,flooded_rice,2,0.0579412895782592,15602
Mandena,ASV_10,0.6978021978021978,2432,Microgale brevicaudata,flooded_rice,2,0.001893939393939394,32736
Mandena,ASV_10,0.6978021978021978,2441,Microgale brevicaudata,agroforest,2,0.0017437685916504256,19498
Mandena,ASV_10,0.6978021978021978,2444,Microgale brevicaudata,agroforest,2,0.005557354052012517,18534
Mandena,ASV_10,0.6978021978021978,2497,Microgale brevicaudata,brushy_regrowth,3,0.001630674305861613,22690
Mandena,ASV_10,0.6978021978021978,2498,Microgale brevicaudata,brushy_regrowth,3,0.0012633858741427021,16622
Mandena,ASV_10,0.6978021978021978,2524,Microgale brevicaudata,brushy_regrowth,3,0.005386812045690551,15408
Mandena,ASV_10,0.6978021978021978,2525,Microgale brevicaudata,brushy_regrowth,3,0.013325698818385301,19211
Mandena,ASV_10,0.6978021978021978,2528,Microgale brevicaudata,brushy_regrowth,3,0.009092802110085375,14407
