village,asv_ID,host_ID,host_species,grid,season,reads,total_reads
Andatsakala,ASV_1,3500,Rattus rattus,brushy_regrowth,1,0.06635040707737676,15599
Andatsakala,ASV_1,3502,Rattus rattus,brushy_regrowth,1,0.5251766988497252,43294
Andatsakala,ASV_1,3503,Rattus rattus,brushy_regrowth,1,0.20747096092925027,37880
Andatsakala,ASV_1,3516,Rattus rattus,brushy_regrowth,1,0.19829370804842858,15941
Andatsakala,ASV_1,3527,Rattus rattus,brushy_regrowth,1,0.09773054179319163,12514
Andatsakala,ASV_1,3534,Rattus rattus,agriculture,1,0.4033891191438015,19061
Andatsakala,ASV_1,3535,Rattus rattus,agriculture,1,0.5070257111130093,46828
Andatsakala,ASV_1,3548,Rattus rattus,secondary_forest,1,0.5222918993213641,11641
Andatsakala,ASV_1,3553,Rattus rattus,secondary_forest,1,0.3208396865359384,28201
Andatsakala,ASV_1,3557,Rattus rattus,secondary_forest,1,0.12490388722768048,11705
Andatsakala,ASV_1,3558,Rattus rattus,secondary_forest,1,0.05866246266179887,12052
Andatsakala,ASV_1,3559,Rattus rattus,secondary_forest,1,0.180821105676597,26988
Andatsakala,ASV_1,3563,Rattus rattus,secondary_forest,1,0.05473965287049399,8239
Andatsakala,ASV_1,3564,Rattus rattus,secondary_forest,1,0.39503449570563665,21307
Andatsakala,ASV_1,3568,Rattus rattus,secondary_forest,1,0.07753028526768269,12795
Andatsakala,ASV_1,3569,Rattus rattus,secondary_forest,1,0.055249559934132074,17611
Andatsakala,ASV_1,3574,Rattus rattus,semi-intact_forest,1,0.020759160869803363,18257
Andatsakala,ASV_1,3577,Rattus rattus,semi-intact_forest,1,0.03976407914764079,10512
Andatsakala,ASV_1,3578,Rattus rattus,semi-intact_forest,1,0.06749710312862109,13808
Andatsakala,ASV_1,3581,Rattus rattus,semi-intact_forest,1,0.22311595099616385,8081
Andatsakala,ASV_1,3591,Rattus rattus,agroforest,1,0.19843352110502355,25918
Andatsakala,ASV_1,3592,Rattus rattus,agroforest,1,0.1621074893108363,21751
Andatsakala,ASV_1,3598,Rattus rattus,agroforest,1,0.07421359954793746,10618
Andatsakala,ASV_1,3600,Rattus rattus,agroforest,1,0.20525250623617453,21247
Andatsakala,ASV_1,3611,Rattus rattus,agroforest,1,0.8074448385173095,31861
Andatsakala,ASV_1,3613,Rattus rattus,agroforest,1,0.1443253881478242,13719
Andatsakala,ASV_1,3621,Rattus rattus,agroforest,1,0.6763878368141976,18482
Andatsakala,ASV_1,3623,Rattus rattus,agroforest,1,0.03888574044204194,22939
Andatsakala,ASV_1,3630,Rattus rattus,village,1,0.14623052356527627,10333
Andatsakala,ASV_1,3634,Rattus rattus,village,1,0.04102690087212873,16282
Andatsakala,ASV_1,3636,Rattus rattus,village,1,0.046945252578682886,15124
Andatsakala,ASV_1,3637,Rattus rattus,village,1,0.026378378378378378,13875
Andatsakala,ASV_1,3639,Rattus rattus,village,1,0.3001652187816447,37526
Andatsakala,ASV_1,3642,Rattus rattus,village,1,0.11665779670037253,9395
Andatsakala,ASV_1,3643,Rattus rattus,village,1,0.10013054830287206,7660
Andatsakala,ASV_1,3644,Rattus rattus,village,1,0.03297809851472686,23834
Andatsakala,ASV_1,3646,Rattus rattus,village,1,0.5465871021775545,9552
Andatsakala,ASV_1,3649,Rattus rattus,village,1,0.07991803278688525,28792
Andatsakala,ASV_1,3654,Rattus rattus,village,1,0.33831793504143254,10499
Andatsakala,ASV_1,3655,Rattus rattus,village,1,1,23948
Andatsakala,ASV_1,3658,Rattus rattus,village,1,0.03539743704633032,11159
Andatsakala,ASV_1,3659,Rattus rattus,village,1,0.250331260829681,9811
Andatsakala,ASV_1,3660,Rattus rattus,village,1,0.14549412276882892,11485
Andatsakala,ASV_1,3680,Rattus rattus,brushy_regrowth,2,0.07270617809146282,10343
Andatsakala,ASV_1,3699,Rattus rattus,agriculture,2,0.07048759623609924,5845
Andatsakala,ASV_1,3708,Rattus rattus,agriculture,2,0.03012712175766037,13609
Andatsakala,ASV_1,3714,Rattus rattus,secondary_forest,2,0.10907632669429221,7481
Andatsakala,ASV_1,3735,Rattus rattus,semi-intact_forest,2,0.07618632999564649,6891
Andatsakala,ASV_1,3741,Rattus rattus,agroforest,2,0.03298780487804878,16400
Andatsakala,ASV_1,3761,Rattus rattus,agroforest,2,0.018259231965937935,12213
Andatsakala,ASV_1,3773,Rattus rattus,agroforest,2,0.01794325445777728,8917
Andatsakala,ASV_1,3779,Rattus rattus,flooded_rice,2,0.08113387088696349,19967
Andatsakala,ASV_1,3781,Rattus rattus,flooded_rice,2,0.3360206385037085,9303
Andatsakala,ASV_1,3782,Rattus rattus,flooded_rice,2,0.07335160406255038,12406
Andatsakala,ASV_1,3789,Rattus rattus,village,2,0.0882837238758708,7895
Andatsakala,ASV_1,3790,Rattus rattus,village,2,0.6017694398550338,18763
Andatsakala,ASV_1,3791,Rattus rattus,village,2,0.025159287698088548,12242
Andatsakala,ASV_1,3807,Rattus rattus,flooded_rice,2,0.3234657039711191,9695
Andatsakala,ASV_1,3811,Rattus rattus,flooded_rice,2,0.10410634914162215,24523
Andatsakala,ASV_1,3817,Rattus rattus,village,2,0.6926668789132971,18846
Andatsakala,ASV_1,3820,Rattus rattus,village,2,0.6354696507290607,11796
Andatsakala,ASV_1,3822,Rattus rattus,flooded_rice,2,0.9435905646280286,18738
Andatsakala,ASV_1,3831,Rattus rattus,brushy_regrowth,3,0.042024267534773604,6758
Andatsakala,ASV_1,3834,Rattus rattus,brushy_regrowth,3,0.07639979068550497,5733
Andatsakala,ASV_1,3838,Rattus rattus,brushy_regrowth,3,0.04742063492063492,10080
Andatsakala,ASV_1,3839,Rattus rattus,brushy_regrowth,3,0.4480758408726895,23101
Andatsakala,ASV_1,3844,Rattus rattus,brushy_regrowth,3,0.16371098892588865,12913
Andatsakala,ASV_1,3851,Rattus rattus,brushy_regrowth,3,0.18662169758291175,10674
Andatsakala,ASV_1,3864,Rattus rattus,agriculture,3,0.058331722404794124,20692
Andatsakala,ASV_1,3872,Rattus rattus,agriculture,3,0.0333732216460577,7521
Andatsakala,ASV_1,3873,Rattus rattus,agriculture,3,0.23424955776296097,14698
Andatsakala,ASV_1,3874,Rattus rattus,agriculture,3,0.1362810417928528,6604
Andatsakala,ASV_1,3876,Rattus rattus,agriculture,3,0.42835581089634356,20539
Andatsakala,ASV_1,3877,Rattus rattus,agriculture,3,0.11531705603372563,11386
Andatsakala,ASV_1,3878,Rattus rattus,agriculture,3,0.0810735834662598,14419
Andatsakala,ASV_1,3885,Rattus rattus,agriculture,3,0.07406972649371991,8519
Andatsakala,ASV_1,3886,Rattus rattus,agriculture,3,0.026882274178597176,9709
Andatsakala,ASV_1,3887,Rattus rattus,agriculture,3,0.042450406002672414,9729
Andatsakala,ASV_1,3888,Rattus rattus,agriculture,3,0.07396724013598434,9707
Andatsakala,ASV_1,3889,Rattus rattus,agriculture,3,0.11251459505360366,9421
Andatsakala,ASV_1,3894,Rattus rattus,secondary_forest,3,0.03052859700367474,10613
Andatsakala,ASV_1,3895,Rattus rattus,secondary_forest,3,0.14310390645761362,7526
Andatsakala,ASV_1,3897,Rattus rattus,secondary_forest,3,0.023009870529419305,15602
Andatsakala,ASV_1,3898,Rattus rattus,secondary_forest,3,0.28362718131397396,22177
Andatsakala,ASV_1,3899,Rattus rattus,secondary_forest,3,0.02230136026621519,17129
Andatsakala,ASV_1,3904,Rattus rattus,secondary_forest,3,0.03968141089460959,7031
Andatsakala,ASV_1,3906,Rattus rattus,secondary_forest,3,0.17669302165692677,5818
Andatsakala,ASV_1,3907,Rattus rattus,secondary_forest,3,0.03817349698356563,9614
Andatsakala,ASV_1,3908,Rattus rattus,secondary_forest,3,0.5494490994260078,15157
Andatsakala,ASV_1,3909,Rattus rattus,secondary_forest,3,0.709123603202466,23357
Andatsakala,ASV_1,3911,Rattus rattus,secondary_forest,3,0.030720218454886792,8789
Andatsakala,ASV_1,3914,Rattus rattus,secondary_forest,3,0.21733353019341503,6773
Andatsakala,ASV_1,3915,Rattus rattus,secondary_forest,3,0.04258926790345103,10026
Andatsakala,ASV_1,3916,Rattus rattus,secondary_forest,3,0.09762120339122561,12149
Andatsakala,ASV_1,3918,Rattus rattus,secondary_forest,3,0.2098497870114341,13381
Andatsakala,ASV_1,3919,Rattus rattus,secondary_forest,3,0.13924875153796049,13817
Andatsakala,ASV_1,3928,Rattus rattus,secondary_forest,3,0.031045570462357244,9019
Andatsakala,ASV_1,3937,Rattus rattus,semi-intact_forest,3,0.12134981218950684,16506
Andatsakala,ASV_1,3945,Rattus rattus,flooded_rice,3,0.2993200655119361,20149
Andatsakala,ASV_1,3948,Rattus rattus,flooded_rice,3,0.10152001977261493,16184
Andatsakala,ASV_1,3960,Rattus rattus,village,3,0.09116917795155445,5243
Andatsakala,ASV_1,3962,Rattus rattus,village,3,0.06599267632542588,12562
Andatsakala,ASV_1,3966,Rattus rattus,flooded_rice,3,0.03306068752502431,17483
Andatsakala,ASV_1,3968,Rattus rattus,village,3,0.07741165437571934,23459
Andatsakala,ASV_1,3969,Rattus rattus,village,3,0.047151637464452806,10901
Andatsakala,ASV_1,3970,Rattus rattus,village,3,0.07647189021691014,9036
Andatsakala,ASV_1,3973,Rattus rattus,village,3,0.6257226372198765,15395
