grid_name,village,n_trees,tree_height,tree_dbh,n_logs,n_liana,m_herb_ht,m_herb_cv,m_canopy_cv
agriculture,Andatsakala,18.9,5.216388888888889,12.233569444444445,1.4,0,0.5890833333333333,77.49166666666667,15.475793650793651
agriculture,Mandena,7.7,2.5095238095238095,4.152599638510637,0.4,3.4,0.9388658008658008,79.31190476190476,0
agriculture,Sarahandrano,1.2,0.4375,1.31,0.1,0,0.7378571428571429,62.791666666666664,0
agroforest,Andatsakala,6.4,3.3625,7.33125,0.4,1.6,0.7599040404040404,80.14141414141415,0
agroforest,Mandena,1.2,1.35,4.930183988689029,0.3,0,0.6501388888888888,68.75,0
agroforest,Sarahandrano,7.5,4.6325,8.137666666666666,1.1,0.4,0.49357142857142855,81.7797619047619,0
brushy_regrowth,Andatsakala,0,0,0,0,0,1.0782380952380952,92.775,0
brushy_regrowth,Mandena,10.266666666666667,7.241666666666667,18.169779471361412,2.8,1.4,1.0695396825396826,41.48412698412699,0
brushy_regrowth,Sarahandrano,2.4,1.4416666666666667,3.4805555555555556,0,0,1.0665833333333334,77.20833333333333,0
flooded_rice,Andatsakala,0,0,0,0,0,0.474375,73.5,0
flooded_rice,Mandena,3.6,1.6,3.7704412747285705,0.2,0.8,0.6846969696969697,79.71428571428572,0
flooded_rice,Sarahandrano,0,0,0,0,0,0.11815476190476192,27.625,0
secondary_forest,Andatsakala,17.5,6.541269841269841,16.345876984126985,10.3,5,0.5838293650793651,36.573412698412696,5.461111111111111
secondary_forest,Mandena,36.5,6.999305555555555,14.376980719553638,6.2,7.3,0.33,43.875,7.95
secondary_forest,Sarahandrano,6.1,6.758333333333333,18.02916666666667,7.5,0.9,0.9195833333333333,37.541666666666664,0
semi-intact_forest,Andatsakala,44.3,8.016568181818181,14.415410101010101,4.4,22.8,0.17,7,30.416666666666668
semi-intact_forest,Mandena,36.9,7.502845238095238,12.95167399786438,3.8,24.6,0.2975,22,26.183333333333334
semi-intact_forest,Sarahandrano,36.8,8.292962301587302,18.742897619047618,8.2,1.5,0.5325,19.666666666666668,36.72142857142857
