grid2,grid1,module_similarity,village,grid_attr,grid_dist,sm_community
agriculture,agroforest,0.31672105777971626,Mandena,0.1517968664490902,35.52590150351697,0.2274300494995792
agriculture,brushy_regrowth,0.42250329529327535,Mandena,0.20370132843656288,24.871530153064185,0.19453374792316525
agroforest,brushy_regrowth,0.32729942994965955,Mandena,0.2908613654099341,43.2675026205766,0.2104014974898577
agriculture,flooded_rice,0.4212260476004681,Mandena,0.074152012160691,21.299040956168426,0.10589018251459743
agroforest,flooded_rice,0.3721501982561808,Mandena,0.09353373951687843,29.002175670441797,0.187831019447635
brushy_regrowth,flooded_rice,0.5187969406094739,Mandena,0.25245710873687993,32.72334967167202,0.10477942582885796
agriculture,secondary_forest,0.36226220075981086,Mandena,0.3078071338592447,33.00537126937197,0.44471348909564
agroforest,secondary_forest,0.30712207556133,Mandena,0.4152979303579239,48.266465228361106,0.40654305124692847
brushy_regrowth,secondary_forest,0.371185993912164,Mandena,0.18994779721625055,21.77624715540825,0.3021768553283241
flooded_rice,secondary_forest,0.39169382990615276,Mandena,0.3782651311495131,39.27861041862322,0.36171526308533497
agriculture,semi-intact_forest,0.16649610490996225,Mandena,0.41725128613479057,43.05674987017759,0.666849522942509
agroforest,semi-intact_forest,0.12104734098860692,Mandena,0.5314239281878297,55.79858814066334,0.6697254836258791
brushy_regrowth,semi-intact_forest,0.17195935243336158,Mandena,0.29884076012581823,35.24490711333244,0.5974669864772748
flooded_rice,semi-intact_forest,0.25545665021482433,Mandena,0.490734021010952,47.93948543306785,0.6343844355484782
secondary_forest,semi-intact_forest,0.19600679702967072,Mandena,0.12861600625002614,28.48712144422645,0.4120279703003243
agriculture,agroforest,0.42824406422565586,Sarahandrano,0.2400513509940105,31.657740573142664,0.26972647559441326
agriculture,brushy_regrowth,0.3386233728475079,Sarahandrano,0.11600838758216736,21.089374600866083,0.1970652543663687
agroforest,brushy_regrowth,0.28641287774360347,Sarahandrano,0.16056632379978725,37.03481098106641,0.3846677696697371
agriculture,flooded_rice,0.25503084883671323,Sarahandrano,0.3636885152773389,36.355893566760216,0.37628755062480274
agroforest,flooded_rice,0.14746508979070594,Sarahandrano,0.5478711697359524,47.86666507368038,0.4409544916114091
brushy_regrowth,flooded_rice,0.12059468951185759,Sarahandrano,0.44100355360716786,30.33516753376483,0.4663258881444962
agriculture,secondary_forest,0.39227661816879,Sarahandrano,0.3640469999954499,36.07187220889901,0.5152058508736104
agroforest,secondary_forest,0.3132247588933371,Sarahandrano,0.18563862855218577,27.113986223901087,0.4780097780988801
brushy_regrowth,secondary_forest,0.3082076031746077,Sarahandrano,0.32211948050744743,41.761333174869755,0.5054863229420463
flooded_rice,secondary_forest,0.17745333030829558,Sarahandrano,0.5640339342894909,51.002061087760275,0.7796297689507037
agriculture,agroforest,0.38538245704731244,Andatsakala,0.20777553844664692,20.011930059644058,0.33597173407113484
agriculture,brushy_regrowth,0.43309156652324465,Andatsakala,0.4606215001899368,19.469837089258824,0.36661792199378906
agroforest,brushy_regrowth,0.409493285110068,Andatsakala,0.3331317780636784,25.394391299666626,0.15043453782006166
agriculture,flooded_rice,0.24631521168558212,Andatsakala,0.45643471252513446,36.415764593254664,0.4828815300217179
agroforest,flooded_rice,0.2791042854779745,Andatsakala,0.33971383079393636,31.641544317011412,0.31637903897972625
brushy_regrowth,flooded_rice,0.4056277767922227,Andatsakala,0.07065897127045341,40.51357970481464,0.37961751585034914
agriculture,secondary_forest,0.31265072254909143,Andatsakala,0.191278343758434,27.54200151457405,0.27993772284172513
agroforest,secondary_forest,0.34994621781599544,Andatsakala,0.2854837293736746,32.02264168572061,0.29361336908310115
brushy_regrowth,secondary_forest,0.387003027410339,Andatsakala,0.6220798887957512,19.75318782902633,0.31865761002882415
flooded_rice,secondary_forest,0.1462631376971526,Andatsakala,0.6110641173328646,45.011388501058484,0.5602918157254709
agriculture,semi-intact_forest,0.14104373802025716,Andatsakala,0.31632190944097555,35.28753941942789,0.6638072086444198
agroforest,semi-intact_forest,0.16776256858745842,Andatsakala,0.4938528738626287,39.52509411476328,0.6332053455827121
brushy_regrowth,semi-intact_forest,0.19683267823559203,Andatsakala,0.8447686194130628,30.288043508018344,0.6219195762042925
flooded_rice,semi-intact_forest,0.16200765935397143,Andatsakala,0.8390140000769055,50.55426419621997,0.7946791504476699
secondary_forest,semi-intact_forest,0.1503948152318728,Andatsakala,0.2508887775325279,23.54593941118309,0.5569592173009099
