host_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,village,grid,season
2010,-0.18406510391350697,0.012004623642044373,0.03622150871016738,-0.23715929035260086,-0.2073893693358352,-0.051431712202507765,-0.22373092427148034,-0.8669368297397758,0.14629423026964034,-0.04869567456647308,0.021554116169851527,-0.03961120896057206,0.019084183764620836,-0.010986329625623632,0.024233985340235457,0.005862016535028054,-5.501394445970827e-4,0.01676306800616234,0.02380630545914287,0.015611551070410307,0.004030562338326298,1.522408941214152e-15,-2.1465188392317206e-16,-1.8700805501513394e-14,0.0027636163245591512,-0.05471536093005973,-0.08354407492492275,0.0073639242524838455,-0.008769577027773175,0.009163563238282801,0.0037698207916415016,-0.0030997862693240936,0.008450196850365353,1.505607162381739e-14,-1.4414224361222446e-15,-2.2390401165084395e-15,1.8541890028575536e-16,2.8029336664181503e-15,-1.669129244541434e-16,9.635033656335557e-16,-5.589333249705897e-16,-3.4190654322509284e-16,1.0911687668795059e-4,0.0020037123677135345,0.0031535132457390746,-0.004793516076407412,0.010328230981062161,-0.02873803613476178,0.1398799298584478,-0.04478737182599163,-0.01391475396725839,-0.04331825291676625,-0.018351863228398737,-0.001668299458037993,9.635463543247528e-4,-0.00400301225584453,7.610421624490438e-16,-2.7945310995813877e-16,-6.071532165918825e-17,-1.7826994221092907e-16,1.5102936262723077e-16,3.6591823321385775e-18,-4.153510760156187e-17,-5.0950725843240674e-17,-6.486281848541893e-17,8.493961691771398e-17,9.778656562871996e-17,5.319875128525359e-17,1.9967107665625622e-17,1.2991791344986459e-17,-1.5386009726256504e-18,-2.304858085293027e-19,5.963281355259725e-17,-6.25771000772532e-17,-7.284568049681708e-17,Mandena,brushy_regrowth,1
2013,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2014,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2016,-0.20480296279411062,-0.19448991733268065,-0.11216319687280943,-0.8096818068781498,-0.836845919042631,-0.3726129853735913,-0.4703135257950397,-0.5856711528455942,0.012792783176215796,0.14486164774439658,0.02583773074557622,0.055898013464544136,6.250887392186446e-4,0.026151386636621903,0.03500374323967497,0.058654649081548195,-0.0035724435830615476,0.10814132700875076,0.08436086281781788,0.1668612414895075,0.06380618785448823,0.03986035843679042,0.008881615261288795,-0.49832947809186323,-0.29569958728904355,0.2767249026626991,0.5236636304669156,-0.00605730418327133,0.1269505261354631,-0.06417929369749142,0.016185740994019367,-0.0060069941799663655,-0.004237651217703864,-3.492675983499116e-15,5.11442516958646e-16,-7.280417588240162e-17,4.621072947040561e-16,2.476859863043135e-16,-6.686816898804349e-16,-3.2540430853350566e-15,5.547591466065205e-16,5.04638513051589e-16,-0.001013630743650245,-0.004510090618339923,0.0016352883936562364,-7.607131180477256e-4,9.46853403524616e-4,-0.0031454936738622395,0.02251769154114027,-0.013226632937406847,0.0012253736375530664,-3.299074043651247e-5,0.006666969901566809,7.4314425897601e-4,-6.27201066256424e-4,0.00425877042723567,4.108191109346293e-15,-2.1186936753625485e-15,-4.0332320816460765e-16,-4.300216866620632e-16,3.870601755773251e-17,3.1807781235293486e-16,-5.693077845085603e-17,-8.21757484108232e-17,-6.833226543737254e-17,-8.627030567785049e-18,1.0320757649114748e-16,1.9783132109481988e-16,1.366272614250659e-16,1.602755742794587e-17,-1.4765867476948805e-17,1.3430461564788053e-17,2.3071991637080985e-16,-1.0334310176270817e-16,6.084237660127639e-18,Mandena,brushy_regrowth,1
2017,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2018,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2020,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2025,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2029,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
2031,-0.1707592942310902,0.07815537137188333,0.023738096663958753,0.005293542297728984,0.011608567778760496,0.023498285638075236,-0.010891278443556916,0.012963236347345967,-0.001792913009712585,-0.0038321442925915105,-1.4405693286477394e-4,-0.0060889661315213835,-4.3212506800933986e-4,0.003139342323090153,-0.004359017134916653,0.0034319571250708927,-0.004107488812186934,-1.9103411516245805e-4,-0.0014585461461137216,4.73341947438687e-4,0.0015228426046517407,-4.578108106888138e-17,1.3464253167778091e-17,-4.504262254988195e-15,0.005108479213007579,0.0017633534579578518,-9.978656447833933e-4,0.0018035940176237013,-7.08366223885679e-4,-6.106288012345807e-4,-3.0669062952590903e-4,4.1965442110610213e-4,-2.1241969675893707e-4,3.0656629578657002e-15,5.911337059769355e-17,-2.1743674569196791e-16,-3.5776638812948236e-16,4.627916973254376e-16,5.13098678128765e-16,3.500536449249636e-15,-5.519944310666824e-16,-4.3905105787979404e-16,8.466199357318547e-4,0.004597707307747534,-0.0013892678361506114,6.491011290730096e-4,-0.001272237678216673,-1.2145896632879339e-4,7.125714017178106e-5,0.0012752799795255692,-0.0020717334881979643,-4.48678458150694e-4,-4.421568089318156e-4,-5.794977431253286e-4,2.143496108126045e-4,-9.97216912989362e-4,-8.019030318245912e-17,-4.700016417724662e-17,-3.838075690598686e-17,-2.0626946331536722e-17,9.64939933512099e-18,-1.6723818510588906e-17,9.825582188149884e-20,1.0909784360635388e-18,1.0566736016997397e-18,1.6728900708272432e-18,6.420509740187597e-19,-2.31239994600424e-18,4.514685608865421e-19,-8.859964628279982e-19,4.1296293784825756e-19,-2.304858085293027e-19,-2.817231582567803e-18,-1.2705494208814505e-19,-3.4567414577447997e-18,Mandena,brushy_regrowth,1
