host_ID,host_species,village,grid,season,sex,mass,dist_village,pathogen,otu_Order,otu_Family,otu_Genus,sum_relative_reads,OTU_ID,pathogen_type
3635,Rattus rattus,Andatsakala,village,1,female,108,0.14,Yes,Incertae_Sedis,Blastocystis,Blastocystis_sp._subtype_3,1,91,Protozoa
2200,Rattus rattus,Mandena,village,1,male,50,NA,Yes,Apicomplexa,Eimeriorina,Eimeria,1,99,Protozoa
3339,Rattus rattus,Sarahandrano,secondary_forest,3,male,148,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0929427650304943,78,Protozoa
3396,Rattus rattus,Sarahandrano,agroforest,3,male,136,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0906238465573656,78,Protozoa
3452,Rattus rattus,Sarahandrano,village,3,female,117,2,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0267956832660234,78,Protozoa
3471,Rattus rattus,Sarahandrano,village,3,male,102,2,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0225930677906875,78,Protozoa
2719,Rattus rattus,Mandena,agroforest,3,female,64,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.161790289337163,78,Protozoa
3415,Rattus rattus,Sarahandrano,agroforest,3,female,62,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.071428571822773,78,Protozoa
3463,Rattus rattus,Sarahandrano,village,3,male,114,2,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.103117506015983,78,Protozoa
3417,Rattus rattus,Sarahandrano,agroforest,3,female,75.5,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0205338813701063,78,Protozoa
2037,Rattus rattus,Mandena,brushy_regrowth,1,female,85,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.112233445236506,78,Protozoa
2880,Rattus rattus,Sarahandrano,secondary_forest,1,male,104,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.106739221358577,78,Protozoa
2736,Rattus rattus,Mandena,village,3,male,82,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.33911111140199,78,Protozoa
2169,Rattus rattus,Mandena,flooded_rice,1,female,82,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.270984798525369,78,Protozoa
2204,Rattus rattus,Mandena,village,1,male,108,NA,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.15326633298894,78,Protozoa
2178,Rattus rattus,Mandena,flooded_rice,1,female,100,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.281341718751126,78,Protozoa
2571,Rattus rattus,Mandena,agriculture,3,male,112,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0677814272101031,78,Protozoa
3344,Rattus rattus,Sarahandrano,secondary_forest,3,female,108,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0254687496341266,78,Protozoa
2927,Rattus rattus,Sarahandrano,agroforest,1,female,141,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0179738558111553,78,Protozoa
2847,Rattus rattus,Sarahandrano,agriculture,1,male,118,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0978413887339245,78,Protozoa
2936,Rattus rattus,Sarahandrano,agroforest,1,male,146,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0240240242067761,78,Protozoa
4004,Rattus rattus,Andatsakala,village,3,female,118,0.03,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0381971832007283,78,Protozoa
2758,Rattus rattus,Mandena,agroforest,3,female,114,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0140324965086003,78,Protozoa
2251,Rattus rattus,Mandena,agroforest,1,male,94,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0835719870294417,78,Protozoa
2976,Rattus rattus,Sarahandrano,village,1,male,182,2.05,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.100222304476541,78,Protozoa
2879,Rattus rattus,Sarahandrano,secondary_forest,1,female,122,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.569892476005203,78,Protozoa
2330,Rattus rattus,Mandena,agriculture,2,male,132,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0900631464072202,78,Protozoa
2839,Rattus rattus,Sarahandrano,agriculture,1,male,132,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0310534621818496,78,Protozoa
2183,Rattus rattus,Mandena,flooded_rice,1,female,118,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0851099761653372,78,Protozoa
2104,Rattus rattus,Mandena,village,1,female,100,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.347785725822413,78,Protozoa
2337,Rattus rattus,Mandena,agriculture,2,female,103,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.5,78,Protozoa
2400,Rattus rattus,Mandena,flooded_rice,2,female,122,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.399391679934719,78,Protozoa
2745,Rattus rattus,Mandena,agroforest,3,male,95,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0850574812085474,78,Protozoa
2943,Rattus rattus,Sarahandrano,agroforest,1,male,126,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.103150620939151,78,Protozoa
2841,Rattus rattus,Sarahandrano,agriculture,1,male,102,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0671763990010624,78,Protozoa
2878,Rattus rattus,Sarahandrano,secondary_forest,1,female,136,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0354984906364604,78,Protozoa
3432,Rattus rattus,Sarahandrano,agroforest,3,female,69,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0365914787274577,78,Protozoa
2581,Rattus rattus,Mandena,agriculture,3,female,55,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0560494687770001,78,Protozoa
3373,Rattus rattus,Sarahandrano,agroforest,3,male,58,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0493537081090804,78,Protozoa
2552,Rattus rattus,Mandena,agriculture,3,female,58,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0683845372862866,78,Protozoa
2481,Rattus rattus,Mandena,village,2,male,122,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.301856224161453,78,Protozoa
3318,Rattus rattus,Sarahandrano,secondary_forest,3,male,164,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0185608266813308,78,Protozoa
3712,Rattus rattus,Andatsakala,secondary_forest,2,female,134,2.08,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0505585003575656,78,Protozoa
2553,Rattus rattus,Mandena,agriculture,3,female,50,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.272196983368902,78,Protozoa
2503,Rattus rattus,Mandena,brushy_regrowth,3,female,118,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.349271096286768,78,Protozoa
3383,Rattus rattus,Sarahandrano,agroforest,3,female,126,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0432490888057468,78,Protozoa
3281,Rattus rattus,Sarahandrano,agriculture,3,male,126,1.1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.07640789016507,78,Protozoa
3317,Rattus rattus,Sarahandrano,secondary_forest,3,female,69,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.111176495495792,78,Protozoa
2025,Rattus rattus,Mandena,brushy_regrowth,1,male,120,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.188941553767888,78,Protozoa
3407,Rattus rattus,Sarahandrano,agroforest,3,female,52,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0338430692403307,78,Protozoa
2708,Rattus rattus,Mandena,agroforest,3,female,106,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.284914820771317,78,Protozoa
2720,Rattus rattus,Mandena,agroforest,3,male,105,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0284697554309217,78,Protozoa
2645,Rattus rattus,Mandena,flooded_rice,3,male,130,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.329575659263715,78,Protozoa
2709,Rattus rattus,Mandena,agroforest,3,male,116,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0658751351543877,78,Protozoa
2935,Rattus rattus,Sarahandrano,agroforest,1,female,132,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0122971019620554,78,Protozoa
2946,Rattus rattus,Sarahandrano,agroforest,1,male,162,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0211752231018453,78,Protozoa
3041,Rattus rattus,Sarahandrano,agroforest,2,male,148,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0163636423861421,78,Protozoa
3030,Rattus rattus,Sarahandrano,agroforest,2,male,176,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0192131665066479,78,Protozoa
2582,Rattus rattus,Mandena,agriculture,3,female,33,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.32890131679835,78,Protozoa
3399,Rattus rattus,Sarahandrano,agroforest,3,female,76,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0509268588005131,78,Protozoa
2631,Rattus rattus,Mandena,flooded_rice,3,female,39,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0787172150507027,78,Protozoa
2583,Rattus rattus,Mandena,agriculture,3,female,62,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0662842615408545,78,Protozoa
3333,Rattus rattus,Sarahandrano,secondary_forest,3,male,102,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0311970222974268,78,Protozoa
2618,Rattus rattus,Mandena,flooded_rice,3,female,127,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.12755103181632,78,Protozoa
3395,Rattus rattus,Sarahandrano,agroforest,3,male,128,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.0199545303047828,78,Protozoa
2696,Rattus rattus,Mandena,agroforest,3,female,86,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.269011729606366,78,Protozoa
3328,Rattus rattus,Sarahandrano,secondary_forest,3,female,120,2.35,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.92452590059543,77,Protozoa
3822,Rattus rattus,Andatsakala,flooded_rice,2,female,125,0.39,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.955808080490286,77,Protozoa
3396,Rattus rattus,Sarahandrano,agroforest,3,male,136,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.147225297880822,77,Protozoa
3414,Rattus rattus,Sarahandrano,agroforest,3,male,120,2.11,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.620137303045112,77,Protozoa
2703,Rattus rattus,Mandena,agroforest,3,female,95,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.387306753259407,77,Protozoa
2643,Rattus rattus,Mandena,flooded_rice,3,male,152,1.19,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,77,Protozoa
3471,Rattus rattus,Sarahandrano,village,3,male,102,2,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.324261873831066,77,Protozoa
3952,Rattus rattus,Andatsakala,village,3,male,106,0.13,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.589087396874671,77,Protozoa
3449,Rattus rattus,Sarahandrano,village,3,male,138,0.33,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.236799128032012,77,Protozoa
3469,Rattus rattus,Sarahandrano,village,3,male,12,1,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.92756680783455,77,Protozoa
2792,Rattus rattus,Sarahandrano,brushy_regrowth,1,female,78,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.9100775193689,77,Protozoa
3975,Rattus rattus,Andatsakala,village,3,male,118,0.47,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.632568862420346,77,Protozoa
2277,Rattus rattus,Mandena,brushy_regrowth,2,male,115,2.21,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.366923076915115,77,Protozoa
3000,Rattus rattus,Sarahandrano,brushy_regrowth,2,male,112,0.72,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,1,77,Protozoa
2766,Rattus rattus,Mandena,agroforest,3,male,100,0.45,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.19320818482172,77,Protozoa
2313,Rattus rattus,Mandena,agriculture,2,female,98,1.61,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.124212420039105,77,Protozoa
2978,Rattus rattus,Sarahandrano,village,1,female,128,2,Yes,Parabasalia,Tritrichomonadea,Tritrichomonas,0.283789563391947,77,Protozoa
