grid1,grid2,grid_attr,grid_dist,sm_community,village
agroforest,agriculture,1.2305865432628584,7.140524100511219,0.3088606429681855,Mandena
brushy_regrowth,agriculture,3.3711388763202477,6.427447563961465,0.2720219541450325,Mandena
brushy_regrowth,agroforest,3.5946533515482884,7.53480367276775,0.31150776899791754,Mandena
flooded_rice,agriculture,0.9522577966239845,6.117324092339402,0.15140119062219218,Mandena
flooded_rice,agroforest,0.5484073156197922,6.734741700582126,0.2604861929570742,Mandena
flooded_rice,brushy_regrowth,3.789905931008842,6.976177760646621,0.14571808543195278,Mandena
secondary_forest,agriculture,4.530934803838536,6.993340627920238,0.548201552291151,Mandena
secondary_forest,agroforest,4.441974683337033,7.75347403565848,0.5090831788128638,Mandena
secondary_forest,brushy_regrowth,3.3920728424441453,6.161639591488101,0.3703549202295164,Mandena
secondary_forest,flooded_rice,4.5742035550134235,7.341360213105092,0.440353139636227,Mandena
semi-intact_forest,agriculture,5.599922142746458,7.5250380199854385,0.7216334422989799,Mandena
semi-intact_forest,agroforest,5.568260835836628,8.043497133857022,0.7342424134369088,Mandena
semi-intact_forest,brushy_regrowth,4.761860339092675,7.12464207953155,0.6446311193121119,Mandena
semi-intact_forest,flooded_rice,5.706623983809567,7.739878990774524,0.6844091328455181,Mandena
semi-intact_forest,secondary_forest,2.8867075916720935,6.6989042119930104,0.4361226676920399,Mandena
village,agriculture,NA,7.496063894502881,0.609804618993022,Mandena
village,agroforest,NA,6.397885011696651,0.5695780865316358,Mandena
village,brushy_regrowth,NA,7.791257193869039,0.6477679032426978,Mandena
village,flooded_rice,NA,7.20974873521303,0.6128934550072855,Mandena
village,secondary_forest,NA,7.968005835423442,1,Mandena
village,semi-intact_forest,NA,8.202682563045643,1,Mandena
agroforest,agriculture,1.9622861823513045,6.909965373120289,0.41738509562899123,Sarahandrano
brushy_regrowth,agriculture,1.182251498970174,6.097538680455351,0.23183144866001307,Sarahandrano
brushy_regrowth,agroforest,2.1609980085217004,7.223716615320625,0.5426434983019309,Sarahandrano
flooded_rice,agriculture,2.2725019288856867,7.1867126494467275,0.289039242830919,Sarahandrano
flooded_rice,agroforest,2.9919773959960656,7.736838669332712,0.3938246708560674,Sarahandrano
flooded_rice,brushy_regrowth,3.424856573441132,6.824615368333418,0.46018517609540555,Sarahandrano
secondary_forest,agriculture,3.7868796322400224,7.171026796890075,0.7310094670680903,Sarahandrano
secondary_forest,agroforest,3.082061070854851,6.600099383152824,0.6892383065489552,Sarahandrano
secondary_forest,brushy_regrowth,3.6987761486031765,7.463941735500759,0.7337950784512144,Sarahandrano
secondary_forest,flooded_rice,4.490164691243026,7.863732090786437,0.8735912879349941,Sarahandrano
semi-intact_forest,agriculture,5.933273927880457,7.600379368660913,0.9264363612160572,Sarahandrano
semi-intact_forest,agroforest,5.014844902082013,7.073341684800881,0.7739751708019293,Sarahandrano
semi-intact_forest,brushy_regrowth,6.068565556207014,7.796443060175035,0.9273540499591917,Sarahandrano
semi-intact_forest,flooded_rice,5.964431712883304,8.10646276508309,1,Sarahandrano
semi-intact_forest,secondary_forest,3.714773401833405,6.602313747466168,0.6963959551997766,Sarahandrano
village,agriculture,NA,6.922193939038232,0.4172248198203576,Sarahandrano
village,agroforest,NA,7.609245260930204,0.39957309815846564,Sarahandrano
village,brushy_regrowth,NA,6.598662080110312,0.42625384670994765,Sarahandrano
village,flooded_rice,NA,6.206665334607945,0.38399692544306463,Sarahandrano
village,secondary_forest,NA,7.703199131766803,0.8313316001490209,Sarahandrano
village,semi-intact_forest,NA,7.988250443142761,1,Sarahandrano
agroforest,agriculture,1.8267376511501334,5.992657197398013,0.3987899927951179,Andatsakala
brushy_regrowth,agriculture,3.3411168311160293,5.937732904158794,0.4507091819488805,Andatsakala
brushy_regrowth,agroforest,1.8717333417982998,6.46905666933504,0.18736095278052523,Andatsakala
flooded_rice,agriculture,2.9107865802162483,7.1900035482123545,0.6381069601612023,Andatsakala
flooded_rice,agroforest,1.7824122686579624,6.908941901432557,0.37717375656559615,Andatsakala
flooded_rice,brushy_regrowth,2.087592159479823,7.40327443853001,0.4772601732112482,Andatsakala
secondary_forest,agriculture,2.803593912447273,6.631424334592731,0.3172632760175124,Andatsakala
secondary_forest,agroforest,3.368985632888033,6.932886410562221,0.39597792316359814,Andatsakala
secondary_forest,brushy_regrowth,4.766524600291921,5.966629774773428,0.4113826651260975,Andatsakala
secondary_forest,flooded_rice,4.298388330612067,7.613831071105669,0.7182882109783897,Andatsakala
semi-intact_forest,agriculture,4.2617617696785315,7.127059821344457,0.797199245853614,Andatsakala
semi-intact_forest,agroforest,5.436031635182327,7.353871528475763,0.7348070916284957,Andatsakala
semi-intact_forest,brushy_regrowth,6.818301616011112,6.821506061886066,0.7289603940921674,Andatsakala
semi-intact_forest,flooded_rice,5.973205582546481,7.846094595834041,1,Andatsakala
semi-intact_forest,secondary_forest,3.9624855749447248,6.317906762884179,0.6335490616168716,Andatsakala
village,agriculture,NA,6.915036181023091,0.7437894214578811,Andatsakala
village,agroforest,NA,6.425663244499259,0.5757096723705547,Andatsakala
village,brushy_regrowth,NA,7.130797459184675,0.5928391042426698,Andatsakala
village,flooded_rice,NA,6.240468442178484,0.36921737757552936,Andatsakala
village,secondary_forest,NA,7.386533427811569,0.7739670664897581,Andatsakala
village,semi-intact_forest,NA,7.679100030350751,1,Andatsakala
