host_ID,host_species,village,grid,season,latitude,longitude,elevation.obs,sex,mass,age_repro,age_dental
2051,Mus musculus,Mandena,agriculture,1,-14.469683971256,49.8035439848899,138.613312,male,11.8,NA,NA
2052,Mus musculus,Mandena,agriculture,1,-14.4695470109581,49.8033470101654,133.119064,male,13,NA,NA
2053,Rattus rattus,Mandena,agriculture,1,-14.4689140096306,49.8036849685013,117.829353,female,24,1,1
2054,Rattus rattus,Mandena,agriculture,1,-14.46910796687,49.8034790251404,129.409378,female,55,1,2
2055,Rattus rattus,Mandena,agriculture,1,-14.4692139979451,49.8030939605087,126.281647,female,33,1,1
2057,Microgale brevicaudata,Mandena,agriculture,1,-14.4700139667838,49.8034800309687,143.8965,female,5.4,NA,NA
2058,Microgale brevicaudata,Mandena,agriculture,1,-14.4700139667838,49.8034800309687,143.8965,male,10.2,NA,NA
2059,Rattus rattus,Mandena,agriculture,1,-14.4687160290777,49.8033109679818,118.628746,male,17,1,1
2060,Mus musculus,Mandena,agriculture,1,-14.4688450265675,49.8036449868232,118.755675999999,male,13,NA,NA
2061,Mus musculus,Mandena,agriculture,1,-14.4691770337522,49.8035490140318,129.739899,male,11.8,NA,NA
2062,Rattus rattus,Mandena,agriculture,1,-14.4694109726697,49.803922008723,122.485596,female,48,1,2
2063,Rattus rattus,Mandena,agriculture,1,-14.4692720007151,49.8031569924205,127.901917,female,35,1,1
2064,Rattus rattus,Mandena,agriculture,1,-14.4696879945695,49.8033099621534,136.066588999999,male,100,2,2
2065,Rattus rattus,Mandena,agriculture,1,-14.4689509738236,49.8035839665681,119.743362,female,90,2,2
2066,Rattus rattus,Mandena,agriculture,1,-14.469337966293,49.8037930112332,127.857254,female,88,2,2
2067,Rattus rattus,Mandena,agriculture,1,-14.4693750143051,49.8031289968639,125.964851,male,88,2,3
2068,Mus musculus,Mandena,agriculture,1,-14.4691989943385,49.8037019837647,122.942825,male,9.5,NA,NA
2069,Microgale brevicaudata,Mandena,agriculture,1,-14.4700139667838,49.8034800309687,143.8965,female,9.8,NA,NA
2072,Microgale brevicaudata,Mandena,agriculture,1,-14.468721980229,49.8034009896218,118.382553,male,12,NA,NA
2075,Mus musculus,Mandena,agriculture,1,-14.4690699968487,49.8033439926803,125.770691,female,12,NA,NA
2076,Mus musculus,Mandena,agriculture,1,-14.4696380384266,49.803391015157104,136.917831,male,9,NA,NA
2077,Rattus rattus,Mandena,agriculture,1,-14.4691310171037,49.8030669707804,125.616005,male,36,1,1
2080,Microgale longicaudata,Mandena,agriculture,1,-14.4704899750649,49.8039139620959,170.570053,male,5.5,NA,NA
2081,Microgale brevicaudata,Mandena,agriculture,1,-14.469951018691,49.8034630157053,143.225403,female,6.7,NA,NA
2082,Microgale brevicaudata,Mandena,agriculture,1,-14.4687160290777,49.8033109679818,118.628746,male,12,NA,NA
2083,Microgale brevicaudata,Mandena,agriculture,1,-14.4687430188059,49.8037070129066,119.619148,male,10.5,NA,NA
2084,Mus musculus,Mandena,agriculture,1,-14.4696800317615,49.8039550334215,131,male,11.5,NA,NA
2085,Rattus rattus,Mandena,agriculture,1,-14.4689450226724,49.803494028747,119.662064,female,85,3,2
2087,Rattus rattus,Mandena,agriculture,1,-14.4690249860286,49.8030409868806,124.160683,female,115,3,3
2089,Mus musculus,Mandena,agriculture,1,-14.4691989943385,49.8037019837647,122.942825,female,10,NA,NA
2090,Mus musculus,Mandena,agriculture,1,-14.4694839790463,49.8033040110021,132.146469,male,11.2,NA,NA
2091,Rattus rattus,Mandena,agriculture,1,-14.4688659813255,49.80357600376,118.341896,female,21,1,1
2092,Rattus rattus,Mandena,agriculture,1,-14.4689359702169,49.8032200243324,124.021103,female,50,1,2
2093,Rattus rattus,Mandena,agriculture,1,-14.4695869926363,49.8039739765226,127.507729,female,130,2,3
2094,Rattus rattus,Mandena,agriculture,1,-14.4688629638403,49.803456980735,119.117408999999,male,72,1,2
2095,Rattus rattus,Mandena,agriculture,1,-14.4693750143051,49.8031289968639,125.964851,male,70,2,3
2096,Rattus rattus,Mandena,agriculture,1,-14.4693340267986,49.8029959760606,126.26561,female,125,3,3
2097,Microgale brevicaudata,Mandena,agriculture,1,-14.468766991049,49.8031419888138,123.075287,male,8.4,NA,NA
2098,Microgale brevicaudata,Mandena,agriculture,1,-14.4687430188059,49.8037070129066,119.619148,female,7.8,NA,NA
2099,Mus musculus,Mandena,agriculture,1,-14.4690699968487,49.8033439926803,125.770691,female,9.5,NA,NA
2100,Rattus rattus,Mandena,agriculture,1,-14.4688659813255,49.80357600376,118.341896,female,21,1,1
2101,Rattus rattus,Mandena,agriculture,1,-14.469683971256,49.8038889840245,132.753082,female,23,1,1
2102,Rattus rattus,Mandena,agriculture,1,-14.4695869926363,49.8039739765226,127.507729,female,86,3,3
2103,Rattus rattus,Mandena,village,1,-14.46983099,49.80275298,138.785965,female,54,1,1
2104,Rattus rattus,Mandena,village,1,-14.46983099,49.80275298,138.785965,female,100,3,3
2105,Rattus rattus,Mandena,village,1,-14.46983099,49.80275298,138.785965,male,115,2,2
2106,Setifer setosus,Mandena,agriculture,1,-14.470083033666,49.8035139776766,148.785538,male,215,NA,NA
2108,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4638220034539,49.7938189655542,207.272736,female,12,NA,NA
2109,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4636560417711,49.7941020224243,206.242766999999,female,7.5,NA,NA
2110,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4636070076376,49.7940850071609,207.688201999999,male,10,NA,NA
2111,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4634530320763,49.7939700074493,214.133636,female,13,NA,NA
2112,Rattus rattus,Mandena,secondary_forest,1,-14.4639000389724,49.7946940362453,192.425262,male,105,2,2
2114,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4638810120522,49.7937980107963,205.980621,male,11.8,NA,NA
2115,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4637360051274,49.7940379846841,204.275055,male,10.4,NA,NA
2116,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4624910410493,49.7951650153845,215.673325,male,13,NA,NA
2117,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4628340285271,49.7954690270125,213.741409,male,5,NA,NA
2118,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4624910410493,49.7951650153845,215.673325,female,8.2,NA,NA
2120,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4634530320763,49.7939700074493,214.133636,male,10.2,NA,NA
2121,Setifer setosus,Mandena,secondary_forest,1,-14.4624430127441,49.7950549609959,211.450561999999,male,220,NA,NA
2122,Rattus rattus,Mandena,secondary_forest,1,-14.4639710336923,49.7948090359568,187.375809,male,120,2,3
2123,Rattus rattus,Mandena,secondary_forest,1,-14.4636360090225,49.7953569609671,182.713530999999,male,60,1,2
2124,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4624910410493,49.7951650153845,215.673325,male,12,NA,NA
2125,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4638220034539,49.7938189655542,207.272736,female,8.4,NA,NA
2126,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4638220034539,49.7938189655542,207.272736,male,12.2,NA,NA
2127,Rattus rattus,Mandena,secondary_forest,1,-14.4637650065124,49.7952370159327,188.258148,male,145,2,3
2128,Rattus rattus,Mandena,secondary_forest,1,-14.4630200229585,49.7951709665358,200.003784,female,115,2,2
2129,Rattus rattus,Mandena,secondary_forest,1,-14.4637299701571,49.7952980361878,184.500915999999,female,60,1,2
2130,Rattus rattus,Mandena,secondary_forest,1,-14.463861985132,49.7945279907435,182.419601,female,110,2,3
2131,Microgale brevicaudata,Mandena,secondary_forest,1,-14.4637039862573,49.7941030282527,203.688309,male,7.4,NA,NA
2132,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4580880273133,49.7917379904538,249.806519,male,12,NA,NA
2133,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4572319835424,49.7907979600131,293.042389,male,11.4,NA,NA
2134,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4574149604886,49.7907609958201,292.655242999999,female,8.4,NA,NA
2136,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4576059840619,49.790552034974,301.399689,male,9.8,NA,NA
2137,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4576550181955,49.7904979716986,301.453949,female,6.4,NA,NA
2138,Rattus rattus,Mandena,semi-intact_forest,1,-14.4578349776566,49.7913339827209,266.920012999999,male,90,2,2
2140,Rattus rattus,Mandena,semi-intact_forest,1,-14.4580219779163,49.7906350158154,299.463714999999,male,86,2,2
2141,Eliurus webbi,Mandena,semi-intact_forest,1,-14.4574179779738,49.79092201218,290.801727,male,51,NA,NA
2142,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4572319835424,49.7907979600131,293.042389,female,7.8,NA,NA
2143,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4572029821574,49.7907749935984,294.296173,male,13.4,NA,NA
2144,Microgale brevicaudata,Mandena,semi-intact_forest,1,-14.4580880273133,49.7917379904538,249.806519,male,12.5,NA,NA
2145,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472075,49.806641,125.350136,male,10.8,NA,NA
2146,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472114,49.806574,127.373009,female,6,NA,NA
2147,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472402,49.806199,132.701767,male,11.3,NA,NA
2148,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472262,49.806379,132.713745,male,12.4,NA,NA
2149,Suncus murinus,Mandena,flooded_rice,1,-14.472215,49.806452,132.283508,male,42,NA,NA
2150,Microgale brevicaudata,Mandena,flooded_rice,1,-14.470997,49.80763,105.955322,male,11,NA,NA
2151,Mus musculus,Mandena,flooded_rice,1,-14.471777,49.806714,123.457878,female,13,NA,NA
2152,Rattus rattus,Mandena,flooded_rice,1,-14.471274,49.807339,110.263519,female,115,3,3
2153,Rattus rattus,Mandena,flooded_rice,1,-14.470819,49.80675,108.865463,male,95,2,2
2154,Rattus rattus,Mandena,flooded_rice,1,-14.471477,49.807069,116.234924,female,95,3,2
2156,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472193,49.806517,128.108658,female,10.5,NA,NA
2157,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472363,49.806261,131.966034,male,9.5,NA,NA
2158,Suncus etruscus,Mandena,flooded_rice,1,-14.472402,49.806199,132.701767,female,2.2,NA,NA
2159,Mus musculus,Mandena,flooded_rice,1,-14.471468,49.806835,113.887772,female,11.2,NA,NA
2160,Rattus rattus,Mandena,flooded_rice,1,-14.471062,49.806547,106.535294,female,80,2,2
2161,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472075,49.806641,125.350136,female,5.9,NA,NA
2162,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472193,49.806517,128.108658,male,12.2,NA,NA
2163,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472193,49.806517,128.108658,male,11.5,NA,NA
2165,Microgale brevicaudata,Mandena,flooded_rice,1,-14.470942,49.807613,105.887817,male,11.8,NA,NA
2166,Mus musculus,Mandena,flooded_rice,1,-14.471237,49.807195,114.770203,female,18.2,NA,NA
2167,Mus musculus,Mandena,flooded_rice,1,-14.471036,49.806916,113.064842,male,10.5,NA,NA
2168,Mus musculus,Mandena,flooded_rice,1,-14.471479,49.807206,115.124237,male,11.2,NA,NA
2169,Rattus rattus,Mandena,flooded_rice,1,-14.471519,49.80648,123.353149,female,82,2,2
2170,Microgale brevicaudata,Mandena,flooded_rice,1,-14.470942,49.807613,105.887817,male,15.4,NA,NA
2171,Microgale brevicaudata,Mandena,flooded_rice,1,-14.470942,49.807613,105.887817,female,7.5,NA,NA
2172,Microgale brevicaudata,Mandena,flooded_rice,1,-14.472075,49.806641,125.350136,female,6.8,NA,NA
2173,Microgale brevicaudata,Mandena,flooded_rice,1,-14.471467,49.806976,117.209503,male,5.7,NA,NA
2174,Mus musculus,Mandena,flooded_rice,1,-14.471036,49.806916,113.064842,female,15,NA,NA
2175,Rattus rattus,Mandena,flooded_rice,1,-14.471906,49.806939,127.639557,male,35,1,1
2176,Rattus rattus,Mandena,flooded_rice,1,-14.47083,49.806871,112.618942,female,100,2,2
2177,Rattus rattus,Mandena,flooded_rice,1,-14.471661,49.806566,122.597038,female,125,2,3
2178,Rattus rattus,Mandena,flooded_rice,1,-14.471661,49.806566,122.597038,female,100,3,2
2180,Mus musculus,Mandena,flooded_rice,1,-14.471659,49.807175,115.632202,male,8.7,NA,NA
2181,Rattus rattus,Mandena,flooded_rice,1,-14.471729,49.806633,124.228889,female,54,1,1
2182,Rattus rattus,Mandena,flooded_rice,1,-14.470819,49.80675,108.865463,female,110,3,2
2183,Rattus rattus,Mandena,flooded_rice,1,-14.471661,49.806566,122.597038,female,118,2,2
2185,Microgale brevicaudata,Mandena,flooded_rice,1,-14.470986,49.80677,110.026886,male,13.4,NA,NA
2186,Rattus rattus,Mandena,flooded_rice,1,-14.471587,49.806615,124.267059,male,19,1,1
2187,Rattus rattus,Mandena,flooded_rice,1,-14.470819,49.80675,108.865463,male,110,2,2
2188,Microgale brevicaudata,Mandena,agroforest,1,-14.477470004931,49.8116930387914,88.6450349999999,female,11.6,NA,NA
2195,Microgale brevicaudata,Mandena,agroforest,1,-14.4783070217818,49.810729958117,92.7265469999999,male,13.4,NA,NA
2196,Microgale brevicaudata,Mandena,agroforest,1,-14.4782559759914,49.8105670139193,92.9525529999999,male,10,NA,NA
2197,Microgale brevicaudata,Mandena,agroforest,1,-14.4775339588522,49.8116969782859,87.506973,female,7.3,NA,NA
2198,Mus musculus,Mandena,village,1,-14.4784,49.81567,81,female,13,NA,NA
2199,Mus musculus,Mandena,village,1,-14.47747,49.81079,103,female,12.4,NA,NA
2200,Rattus rattus,Mandena,village,1,-14.47841,49.81567,80,male,50,2,2
2203,Rattus rattus,Mandena,village,1,-14.47603,49.81373,82,male,100,2,3
2204,Rattus rattus,Mandena,village,1,-14.47616,49.81379,85,male,108,2,3
2205,Rattus rattus,Mandena,village,1,-14.47841,49.81567,80,female,71,3,2
2206,Rattus rattus,Mandena,village,1,-14.47747,49.81079,103,male,50,2,3
2207,Rattus rattus,Mandena,agroforest,1,-14.4773740321397,49.8112679924815,103.098625,male,70,2,3
2208,Rattus rattus,Mandena,agroforest,1,-14.477631021291,49.8109420202672,97.44986,male,102,2,3
2209,Mus musculus,Mandena,agroforest,1,-14.4778620265424,49.811218958348,94.2559049999999,female,15,NA,NA
2210,Mus musculus,Mandena,agroforest,1,-14.4776949752122,49.8107710294425,104.521355,female,12,NA,NA
2212,Setifer setosus,Mandena,agroforest,1,-14.4770970102399,49.8116409871727,88.4245609999999,male,268,NA,NA
2214,Mus musculus,Mandena,agroforest,1,-14.4780239649116,49.8114389833062,82.4687349999999,female,15,NA,NA
2215,Mus musculus,Mandena,agroforest,1,-14.4780760165303,49.8113509733229,91.4267959999999,male,15.6,NA,NA
2216,Rattus rattus,Mandena,agroforest,1,-14.477906031534,49.810931039974,94.769058,female,38,1,2
2217,Rattus rattus,Mandena,agroforest,1,-14.4774659816175,49.810790978372,111.442795,female,118,2,3
2218,Rattus rattus,Mandena,agroforest,1,-14.4773030374199,49.8110939841717,109.975761,male,100,2,2
2220,Rattus rattus,Mandena,village,1,-14.47747,49.81079,103,male,41,2,2
2221,Rattus rattus,Mandena,village,1,-14.4784,49.81567,81,female,57,1,2
2222,Rattus rattus,Mandena,village,1,-14.47962,49.81628,70,male,128,2,2
2223,Rattus rattus,Mandena,village,1,-14.47962,49.81628,70,female,67,1,2
2225,Setifer setosus,Mandena,agroforest,1,-14.4783889967948,49.8110170383006,93.1212459999999,male,67,NA,NA
2227,Rattus rattus,Mandena,village,1,-14.47701,49.81482,76,female,66,1,3
2228,Rattus rattus,Mandena,agroforest,1,-14.4776979926973,49.8108519986271,99.0892029999999,female,97,2,2
2229,Rattus rattus,Mandena,agroforest,1,-14.4779620226472,49.8114789649844,83.69458,female,97,3,3
2230,Mus musculus,Mandena,agroforest,1,-14.4780239649116,49.8114389833062,82.4687349999999,female,12.4,NA,NA
2231,Mus musculus,Mandena,agroforest,1,-14.4778730068355,49.8115419968962,84.492264,male,12,NA,NA
2232,Mus musculus,Mandena,agroforest,1,-14.4782249629497,49.8112870194017,91.6506349999999,male,13,NA,NA
2234,Microgale brevicaudata,Mandena,agroforest,1,-14.4776000082492,49.8116559907794,86.950569,male,13.2,NA,NA
2235,Microgale brevicaudata,Mandena,agroforest,1,-14.4783889967948,49.8110170383006,93.1212459999999,male,11,NA,NA
2236,Rattus rattus,Mandena,village,1,-14.47962,49.81628,70,female,68,1,2
2237,Mus musculus,Mandena,agroforest,1,-14.4780239649116,49.8114389833062,82.4687349999999,male,11,NA,NA
2238,Mus musculus,Mandena,agroforest,1,-14.4780760165303,49.8113509733229,91.4267959999999,male,11.3,NA,NA
2240,Mus musculus,Mandena,agroforest,1,-14.4780869968235,49.8111400008201,94.3010479999999,male,9.4,NA,NA
2241,Rattus rattus,Mandena,agroforest,1,-14.4781989790499,49.810968004167,89.7306899999999,female,63,1,2
2242,Rattus rattus,Mandena,agroforest,1,-14.4773030374199,49.8110939841717,109.975761,male,175,2,3
2243,Rattus rattus,Mandena,agroforest,1,-14.4774659816175,49.810790978372,111.442795,male,77,1,2
2244,Microgale brevicaudata,Mandena,agroforest,1,-14.4783279765397,49.8105660080909,89.188713,male,8,NA,NA
2245,Microgale brevicaudata,Mandena,agroforest,1,-14.4784510228782,49.8110450338572,88.464706,male,7.8,NA,NA
2246,Mus musculus,Mandena,agroforest,1,-14.4777770340442,49.8107250127941,97.7043,male,12,NA,NA
2247,Suncus murinus,Mandena,agroforest,1,-14.4781389646232,49.8110440280288,89.5744629999999,female,25,NA,NA
2248,Rattus rattus,Mandena,agroforest,1,-14.4775199610739,49.8114379774779,93.278366,male,105,2,3
2249,Rattus rattus,Mandena,agroforest,1,-14.4774809852242,49.811366982758,95.121857,female,85,3,2
2251,Rattus rattus,Mandena,agroforest,1,-14.4773199688643,49.8113130033016,101.816154,male,94,2,2
2254,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4648780394345,49.7985389828681,152.539199999999,female,6.9,NA,NA
2255,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4646939728409,49.7985610272735,149.44252,male,8.7,NA,NA
2256,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4644219800829,49.7977540176361,158.728759999999,male,9.4,NA,NA
2257,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4645160250365,49.7978960070759,157.280532999999,male,9.5,NA,NA
2259,Mus musculus,Mandena,brushy_regrowth,2,-14.4660869613289,49.7988089639693,153.379561999999,female,12,NA,NA
2260,Mus musculus,Mandena,brushy_regrowth,2,-14.4660510029643,49.7986669745296,153.639480999999,male,12,NA,NA
2261,Rattus rattus,Mandena,brushy_regrowth,2,-14.4656619988381,49.7989669628441,145.157867,female,43,1,1
2262,Rattus rattus,Mandena,brushy_regrowth,2,-14.4656080193817,49.7989310044795,146.631821,male,38,1,1
2263,Rattus rattus,Mandena,brushy_regrowth,2,-14.4661130290478,49.7989279869943,152.765991,female,130,2,2
2264,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4646320305764,49.7986490372568,148.321198,female,8.8,NA,NA
2265,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.464836968109,49.7981679998338,152.293151999999,female,12,NA,NA
2266,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4642970059067,49.797631977126,157.904540999999,female,7.3,NA,NA
2267,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4643410108983,49.7976670134812,158.676453,female,9,NA,NA
2268,Suncus etruscus,Mandena,brushy_regrowth,2,-14.464437989518,49.7977700270712,158.354201999999,male,1.9,NA,NA
2269,Rattus rattus,Mandena,brushy_regrowth,2,-14.466013032943,49.7990299947559,146.459533999999,male,62,1,1
2270,Rattus rattus,Mandena,brushy_regrowth,2,-14.4661130290478,49.7989279869943,152.765991,male,140,2,3
2271,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4648409914225,49.7984760347753,152.237839,male,11,NA,NA
2272,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4646489620208,49.7987079620361,147.062057,female,7.3,NA,NA
2273,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4642970059067,49.797631977126,157.904540999999,female,6.8,NA,NA
2274,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4644219800829,49.7977540176361,158.728759999999,male,11,NA,NA
2275,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.464437989518,49.7977700270712,158.354201999999,male,8,NA,NA
2276,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4646740239113,49.7979720309376,154.96843,female,7.3,NA,NA
2277,Rattus rattus,Mandena,brushy_regrowth,2,-14.4660199899226,49.7989780269563,147.360503999999,male,115,2,2
2278,Rattus rattus,Mandena,brushy_regrowth,2,-14.4658800121396,49.7985310200601,144.656677,male,100,2,2
2279,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4648409914225,49.7984760347753,152.237839,male,13.5,NA,NA
2281,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4658719655126,49.7984560020267,141.767303,female,10,NA,NA
2282,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4649669714272,49.798631016165,153.83606,female,11.5,NA,NA
2283,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4642970059067,49.797631977126,157.904540999999,male,12,NA,NA
2284,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4642970059067,49.797631977126,157.904540999999,male,10.5,NA,NA
2285,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4647639617323,49.7980949934571,153.004989999999,male,7.3,NA,NA
2286,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.4647639617323,49.7980949934571,153.004989999999,female,12,NA,NA
2287,Rattus rattus,Mandena,brushy_regrowth,2,-14.466169020161,49.7991520352661,141.019836,male,27,1,1
2288,Suncus etruscus,Mandena,brushy_regrowth,2,-14.4649669714272,49.798631016165,153.83606,male,2,NA,NA
2289,Microgale brevicaudata,Mandena,brushy_regrowth,2,-14.46422399953,49.7976149618625,157.121521,male,10,NA,NA
2291,Microgale brevicaudata,Mandena,agriculture,2,-14.469951018691,49.8034630157053,143.225403,male,11.5,NA,NA
2293,Microgale brevicaudata,Mandena,agriculture,2,-14.4702280405908,49.803581032902,155.998703,male,10.5,NA,NA
2294,Microgale brevicaudata,Mandena,agriculture,2,-14.470378998667,49.8037250339984,163.321243,female,10.5,NA,NA
2295,Microgale brevicaudata,Mandena,agriculture,2,-14.4704899750649,49.8039139620959,170.570053,male,8,NA,NA
