host_ID,host_species,village,grid,season,latitude,longitude,elevation.obs,sex,mass,age_repro,age_dental
2006,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4642970059067,49.797631977126,157.904540999999,male,12.1,NA,NA
2007,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4646740239113,49.7979720309376,154.96843,male,10.8,NA,NA
2008,Setifer setosus,Mandena,brushy_regrowth,1,-14.464778965339,49.798832014203,141.720535,male,225,NA,NA
2009,Setifer setosus,Mandena,brushy_regrowth,1,-14.4647460244596,49.798026010394,153.159256,male,225,NA,NA
2010,Rattus rattus,Mandena,brushy_regrowth,1,-14.4660520087927,49.7993520274758,144.218796,female,80,2,2
2011,Rattus rattus,Mandena,brushy_regrowth,1,-14.4661660026758,49.7988640330731,145.284957999999,male,51,1,2
2013,Rattus rattus,Mandena,brushy_regrowth,1,-14.4656869769096,49.7990790288895,118.188316,female,88,1,2
2014,Rattus rattus,Mandena,brushy_regrowth,1,-14.4653589930385,49.7990119736641,133.551436999999,male,77,1,2
2015,Rattus rattus,Mandena,brushy_regrowth,1,-14.465502994135,49.7987340297549,145.232788,female,65,1,2
2016,Rattus rattus,Mandena,brushy_regrowth,1,-14.4662970118224,49.7986910305917,144.533478,female,81,2,2
2017,Rattus rattus,Mandena,brushy_regrowth,1,-14.4659500010311,49.7993070166558,132.378479,male,95,2,2
2018,Rattus rattus,Mandena,brushy_regrowth,1,-14.4660230074077,49.7987399809062,148.738204999999,male,90,2,2
2019,Rattus rattus,Mandena,brushy_regrowth,1,-14.4658550340682,49.7984770406037,127.53524,female,66,1,1
2020,Rattus rattus,Mandena,brushy_regrowth,1,-14.4658210035413,49.798906026408,127.467392,male,79,1,2
2021,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4647590164095,49.7985089756548,149.993042,male,7.9,NA,NA
2023,Rattus rattus,Mandena,brushy_regrowth,1,-14.4655080232769,49.7983049601316,141.379288,female,91,2,2
2024,Rattus rattus,Mandena,brushy_regrowth,1,-14.4662970118224,49.7986910305917,144.533478,male,125,2,3
2025,Rattus rattus,Mandena,brushy_regrowth,1,-14.4654699694365,49.7990890033543,132.645584,male,120,2,3
2026,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4647330325096,49.7987890150398,144.331039,male,11.5,NA,NA
2027,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4645160250365,49.7978960070759,157.280532999999,male,10.5,NA,NA
2028,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4647460244596,49.798026010394,153.159256,male,6,NA,NA
2029,Rattus rattus,Mandena,brushy_regrowth,1,-14.4662359915673,49.7985979914665,142.369339,female,66.5,1,3
2030,Rattus rattus,Mandena,brushy_regrowth,1,-14.4662970118224,49.7986910305917,144.533478,male,150,2,3
2031,Rattus rattus,Mandena,brushy_regrowth,1,-14.4658550340682,49.7984770406037,127.53524,male,130,2,2
2032,Rattus rattus,Mandena,brushy_regrowth,1,-14.4659670162945,49.7986050322651,153.072478999999,male,75,2,2
2033,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4649669714272,49.798631016165,153.83606,female,13.5,NA,NA
2034,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4648969825357,49.798573013395,153.159882,male,11.5,NA,NA
2035,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4647590164095,49.7985089756548,149.993042,male,12.5,NA,NA
2036,Microgale brevicaudata,Mandena,brushy_regrowth,1,-14.4646489620208,49.7987079620361,147.062057,male,10,NA,NA
2037,Rattus rattus,Mandena,brushy_regrowth,1,-14.4657550379633,49.7990269772708,121.391144,female,85,1,2
2038,Rattus rattus,Mandena,brushy_regrowth,1,-14.4659670162945,49.7986050322651,153.072478999999,female,110,2,3
2039,Rattus rattus,Mandena,brushy_regrowth,1,-14.4652750063687,49.798890016973,136.729583999999,female,37,1,1
2040,Rattus rattus,Mandena,brushy_regrowth,1,-14.4657749868929,49.7985140047967,146.936554,male,19,1,1
2041,Mus musculus,Mandena,brushy_regrowth,1,-14.4656899943947,49.7984760347753,143.974303999999,female,15.5,NA,NA
2042,Rattus rattus,Mandena,brushy_regrowth,1,-14.4654040038585,49.7988760191947,142.662230999999,male,105,2,3
2043,Microgale brevicaudata,Mandena,agriculture,1,-14.4689270015805,49.803034029901,119.297447,female,10.8,NA,NA
2045,Microgale brevicaudata,Mandena,agriculture,1,-14.4687160290777,49.8033109679818,118.628746,male,12.1,NA,NA
2046,Microgale brevicaudata,Mandena,agriculture,1,-14.4687460362911,49.8036319948732,119.27063,female,9.5,NA,NA
2047,Microgale brevicaudata,Mandena,agriculture,1,-14.4687460362911,49.8036319948732,119.27063,male,12.8,NA,NA
2048,Suncus etruscus,Mandena,agriculture,1,-14.470083033666,49.8035139776766,148.785538,male,1.7,NA,NA
2050,Mus musculus,Mandena,agriculture,1,-14.4690949749201,49.8032510373741,130.040344,male,12,NA,NA
